label,category,locality,postal_code,latitude,longitude,ville_proche
La Forge d'Eloi,CulturalSite,Blanot,71250,46.472726,4.736567,141
1.2.3 Jouons,SportsAndLeisurePlace,Champforgeuil,71530,46.8235387,4.83640779,134
Isabelle MININI,CulturalSite,Dijon,21000,47.3228094,5.0441218,8
Caveau Saint-Felix,SportsAndLeisurePlace,Beaune,21200,47.0226659,4.8348988,3
Bourgogne Montgolfière,SportsAndLeisurePlace,Moroges,71390,46.748591,4.680403,131
Attelage Beaune Passion,SportsAndLeisurePlace,Beaune,21200,47.0194497,4.8542083,3
Dynamiques Positives,SportsAndLeisurePlace,Levernois,21200,46.9926258,4.8824445,3
Mba section aca (athletisme),SportsAndLeisurePlace,Audincourt,25400,47.4971964,6.8136478,56
Site du Montgué,CulturalSite,Asnan,58420,47.309038,3.554236,98
Piscine de Poligny,SportsAndLeisurePlace,Poligny,39800,46.8319686,5.70736591,91
Maison Régionale des Arts de la Table,CulturalSite,Arnay-le-Duc,21230,47.1344613,4.48522065,146
"Velovitamine - Balade Oenologique à vélo ""Côte de Nuits 1er Cru"" Dijon à Gevrey-Chambertin",SportsAndLeisurePlace,Chenôve,21000,47.2935893,5.0010864,6
PORTRAITS D’ARCHITECTES : Claude-Antoine Colombot (1747-1821),SportsAndLeisurePlace,Besançon,25000,47.23507,6.02606,35
A Tour de Roues,SportsAndLeisurePlace,Arbois,39600,46.9014235,5.7708211,79
Médiathèque intercommunale,CulturalSite,Commenailles,39140,46.801642,5.45301799,89
La Calèche de Clem,SportsAndLeisurePlace,Noyers,89310,47.6953151,3.9957636,187
"Balades sonores : Vauban, ses fortifications, sa Citadelle",SportsAndLeisurePlace,Besançon,25000,47.2431592,6.0189455,35
Base nautique du Vézenay,SportsAndLeisurePlace,Malbuisson,25160,46.8079029,6.30977568,64
KANWITA - Ateliers et sorties Nature au coeur de la forêt,SportsAndLeisurePlace,Mussy-sous-Dun,71170,46.23116,4.33033,139
Point de vue du Fort Malher,Landform,La Cluse-et-Mijoux,25300,46.8763281,6.37801408,64
Mom Plume Créations,CulturalSite,Beaumotte-Aubertans,70190,47.41977,6.1828,121
Les vergers-potagers du château de Montigny-sur-Aube,CulturalSite,Montigny-sur-Aube,21520,47.9525443,4.7788723,5
L'Ecole des Vins de Bourgogne,SportsAndLeisurePlace,Beaune,21200,47.0090711,4.8480371,3
Le Moulin des tachyons,SportsAndLeisurePlace,Chaumont-le-Bois,21400,47.9245108,4.57694451,5
Vino Dilectio,SportsAndLeisurePlace,Dijon,21000,47.31747,5.03428,8
Abbaye Sainte Marie de la Pierre-Qui-Vire,CulturalSite,Saint-Léger-Vauban,89630,47.358347,4.062761,22
Double et Triple écluses de Chavance,Landform,Achun,58110,47.114412,3.633283,106
Point de vue de Renédale,Landform,Renédale,25520,47.0205244,6.27915181,73
Retable de l'église de l'assomption,CulturalSite,Montot,70180,47.564877,5.620951,112
Récré'à'Elle,CulturalSite,Chassigny-sous-Dun,71170,46.220418,4.287794,139
Vitteaut-Alberti,SportsAndLeisurePlace,Rully,71150,46.8752,4.74995,132
Lac de Pannecière,Landform,Chaumard,58120,47.155027,3.895771,169
Maison & Laboratoire de Louis Pasteur,CulturalSite,Arbois,39600,46.9065649,5.76954424,79
Domaine Drain,SportsAndLeisurePlace,Jambles,71640,46.7715657,4.69739086,148
Andréas corso - art cuir design,CulturalSite,Rouhe,25440,47.0822849,5.9615546,57
VISITES GUIDEES,SportsAndLeisurePlace,Dijon,21000,47.3237985,5.0386146,8
Jura Ciel,SportsAndLeisurePlace,Marnoz,39110,46.9501,5.83101,95
frédérique danse - exploratrice TYPO*graphique,SportsAndLeisurePlace,Bellechaume,89210,48.0459065,3.6012306,170
Vignoble de Villaines-Viserny,Landform,Viserny,21500,47.556158,4.29457284,24
Ecole d'Equitation - Les Gambades,SportsAndLeisurePlace,Gâcogne,58140,47.226088,3.887417,169
Chapelle de Saint-Georges,CulturalSite,Saint-Symphorien-des-Bois,71800,46.3216966,4.26664347,137
Le belvédère du Duchet,Landform,Nanchez,39150,46.5116176,5.8397192,81
Hôtel particulier - Hôtel de Froissard,CulturalSite,Dole,39100,47.0918062,5.4911962,83
Le Ru Blanc,Landform,Val-Suzon,21121,47.410148,4.898834,19
La Ligne des Hirondelles,CulturalSite,Hauts de Bienne,39400,46.5263064,6.0235415,90
Belvédère du Bénédegand,Landform,Ney,39300,46.7328604,5.892663,80
Les attelages de l'Auxois,SportsAndLeisurePlace,Arnay-sous-Vitteaux,21350,47.4449865,4.4976428,29
Piscine de la Vallée des Vaux,SportsAndLeisurePlace,Saint-Jean-de-Vaux,71640,46.80987,4.70215,148
Golf du Val de Sorne,SportsAndLeisurePlace,Vernantois,39570,46.6396546,5.56354522,87
Marché aux Vins - Dégustation Découverte,SportsAndLeisurePlace,Beaune,21200,47.02165,4.83734,3
Giant city Maîche,SportsAndLeisurePlace,Maîche,25120,47.24106,6.78534,52
Aéro-Club Beaunois,SportsAndLeisurePlace,Beaune,21200,47.0111874,4.89355735,3
Chronovert,SportsAndLeisurePlace,Mézilles,89130,47.707009,3.202362,188
"Sentier de randonnee ""la Voie du Sel et du Charbon""",SportsAndLeisurePlace,Villafans,70110,47.5807377,6.4719665,118
Médiathèque Intercommunale de la Vallée du Drugeon,CulturalSite,Frasne,25560,46.8569357,6.1610852,51
Jump Street Trampoline Park,SportsAndLeisurePlace,Valentigney,25700,47.4490587,6.8368643,75
"Enquête ""Meurtre à la Saline royale""",SportsAndLeisurePlace,Arc-et-Senans,25610,47.0331753,5.7776263,79
Woka marnay - espace enfants,SportsAndLeisurePlace,Marnay,70150,47.2894047,5.77687822,68
Écuries K des Lys,SportsAndLeisurePlace,Saulieu,21210,47.2946496,4.23498486,22
Aéro-Club de la Côte-d'Or,SportsAndLeisurePlace,Darois,21121,47.3861237,4.9451254,19
Poupet vol libre,SportsAndLeisurePlace,Salins-les-Bains,39110,46.9724635,5.86485385,95
Château de Saint-Aubin - Maison Prosper Maufoux : Expérience Grands Crus,SportsAndLeisurePlace,Saint-Aubin,21190,46.94994,4.70941,132
"ATELIER DECOUVERTE A L’OBSERVATOIRE : ""A LA SECONDE PRES""",SportsAndLeisurePlace,Besançon,25000,47.2474417,5.9897384,41
Site archéologique de Bibracte,CulturalSite,Saint-Léger-sous-Beuvray,71990,46.93218,4.04752,126
Atelier de tournage sur bois,CulturalSite,Neuvelle-lès-la-Charité,70130,47.5392076,5.9505368,121
Centre Omnisports Pierre Croppet,SportsAndLeisurePlace,Besançon,25000,47.2481251,5.97261428,62
Location de vélos - Office de tourisme CAP Val de Saône – Bureau de Pontailler-sur-Saône,SportsAndLeisurePlace,Pontailler-sur-Saône,21270,47.3041716,5.4173617,2
Poterie les mains et la terre,CulturalSite,Bief,25190,47.32627,6.76724,63
Musée Jean Larcena,CulturalSite,Le Val d'Ocre,89110,48.1872246,3.2763907,186
Matthieu fishing,SportsAndLeisurePlace,Reugney,25330,47.2466937,6.04036569,35
"Visite privative ""Epicurienne"" à la Maison Jean Loron",SportsAndLeisurePlace,La Chapelle-de-Guinchay,71570,46.2126293,4.774853,135
Église Saint-Claude,CulturalSite,Bouhey,21360,47.199497,4.66822749,3
Jeux pour enfants à Clamecy,SportsAndLeisurePlace,Clamecy,58500,47.461615,3.516129,98
Réservoir de Chazilly,Landform,Chazilly,21320,47.1887171,4.60136773,146
Françoise Mussel,CulturalSite,Mont-Saint-Vincent,71300,46.6312735,4.4780363,160
Marion Rouchet Céramique,CulturalSite,Pesmes,70140,47.2822,5.56219,116
Michèle Coustou,CulturalSite,Châteauneuf,21320,47.2192059,4.64050676,146
Forêt de chaux,Landform,La Vieille-Loye,39380,47.0850853,5.65795898,83
Chapelle des Forges-de-la-Ferrière,CulturalSite,Jougne,25370,46.746564,6.38111359,64
Eglise de Saint-Pierre et Saint-Paul de Cravant,CulturalSite,Deux Rivières,89460,47.6818659,3.68929266,168
Le Café Parisien,SportsAndLeisurePlace,Saulieu,21210,47.2791658,4.228734,22
Le Chemin des Sens - Art et artisanat d'art,CulturalSite,Besançon,25000,47.23592,6.02173072,35
Techni-Café,CulturalSite,Devecey,25870,47.3304712,6.0164738,38
VSD39,SportsAndLeisurePlace,Dole,39100,47.1025598,5.5016487,83
Ferme du Champ Bressan,CulturalSite,Romenay,71470,46.5013943,5.06660434,165
La Fée Mohair,CulturalSite,Béard,58160,46.861689,3.328254,105
Nathalie Thénoz - Coach de vie,SportsAndLeisurePlace,Auxerre,89000,47.79547,3.5636,168
Castel Saint-Denis,CulturalSite,Scey-Maisières,25290,47.09563,6.08213,61
Belvedere d'etobon,Landform,Étobon,70400,47.616292,6.676662,113
Pêche sur l'Ognon,SportsAndLeisurePlace,Gray,70140,47.27981,5.56836,116
Lavoir de Beines,CulturalSite,Beine,89800,47.8203534,3.71916299,171
Château d'Epiry,CulturalSite,Saint-Émiland,71490,46.8803993,4.49303883,130
Table d'orientation,Landform,Ternant,58250,46.750878,3.837792,128
Pierre de la Caraude,Landform,Aillevillers-et-Lyaumont,70320,47.935043,6.373942,115
L'Atelier du hibou,CulturalSite,Savoyeux,70130,47.56069,5.73914,116
La Sablière communale de Villecomte,SportsAndLeisurePlace,Villecomte,21120,47.508657,5.029758,12
La Fabrique Pluriel,CulturalSite,Marcilly-la-Gueurce,71120,46.3990598,4.30049681,137
Bibliotheque municipale,CulturalSite,Broye-Aubigney-Montseugny,70140,47.31485,5.50852,116
Église Saint-Laurent,CulturalSite,Thomirey,21360,47.081607,4.590625,146
Guenard Didier,CulturalSite,Beaumont-sur-Grosne,71240,46.6693821,4.85632895,163
Église Saint-Laurent,CulturalSite,Le Creusot,71200,46.8058867,4.42205958,143
Les Tours,CulturalSite,Decize,58300,46.8283278,3.45888691,101
Accrobranche Montciel Aventure,SportsAndLeisurePlace,Lons-le-Saunier,39000,46.6682357,5.5377755,89
Hôtel de Sassenay,CulturalSite,Dijon,21000,47.3196423,5.0384331,8
Croix du Dan,Landform,Poligny,39800,46.8293936,5.70843614,91
Sentier Botanique de Rurey,Landform,Rurey,25290,47.095478,6.009653,31
Fort Brûlé Paintball,SportsAndLeisurePlace,Asnières-lès-Dijon,21380,47.3670171,5.04746,9
Etang de la Galette,SportsAndLeisurePlace,Bruailles,71500,46.5970828,5.25696895,150
Art d'Ici : la boutique des artisans d'art à Saint-Amand-en-Puisaye,CulturalSite,Saint-Amand-en-Puisaye,58310,47.53156,3.07292,99
A Cloche-Pierres,CulturalSite,Trambly,71520,46.328255,4.533322,141
Prieuré Saint-Hilaire de Commagny,CulturalSite,Moulins-Engilbert,58290,46.973558,3.790571,106
Château de Flée,CulturalSite,Le Val-Larrey,21140,47.43598,4.32658,24
Grès de Ratilly,CulturalSite,Treigny-Perreuse-Sainte-Colombe,89520,47.5541504,3.16756956,188
Fouilles archéologiques de Cestres,CulturalSite,Saint-Martin-du-Mont,21440,47.434235,4.799508,19
"L'Hostellerie, Centre d'Art Singulier",CulturalSite,Dijon,21000,47.320648,5.01778625,8
Nordik Jura,SportsAndLeisurePlace,Les Bouchoux,39370,46.3004254,5.8245425,86
Histopad de la Saline royale,CulturalSite,Arc-et-Senans,25610,47.03148,5.77808,79
Tennis Club Marcigny,SportsAndLeisurePlace,Marcigny,71110,46.2773301,4.0356909,155
Dégustation Vins et Chocolats,SportsAndLeisurePlace,Auxey-Duresses,21190,46.98629,4.74674,132
"Visite guidée ""Autun, toute une histoire""",SportsAndLeisurePlace,Autun,71400,46.9490591,4.2982648,126
Chiens de traineaux - Terre et Neige,SportsAndLeisurePlace,Nanchez,39150,46.524786,5.854826,94
Stages avec Les Arts du Japon,SportsAndLeisurePlace,Ornans,25290,47.1031241,6.1456625,61
Église Saint-Étienne,CulturalSite,Sirod,39300,46.7323898,5.98754882,80
Communauté de Taizé,CulturalSite,Taizé,71250,46.5158629,4.67941594,141
Sellerie Isatis,CulturalSite,Beaufort-Orbagna,39190,46.57598,5.43821,89
Eglise Saint-Isidore,CulturalSite,Saint-Désert,71390,46.75415,4.7098,148
Zone de tranquillité de la vie sauvage - 4 lacs,Landform,La Chaux-du-Dombief,39150,46.604226,5.9037499,90
Dégustation de vins terroirs bourguignons - DSVin,SportsAndLeisurePlace,Beaune,21200,47.025304,4.839521,3
Square du 19 Mars 1962 (XXème siècle),CulturalSite,Paray-le-Monial,71600,46.4533594,4.11874884,155
Sanctuaire de Paray-le-Monial,CulturalSite,Paray-le-Monial,71600,46.4498177,4.12248132,155
Eglise,CulturalSite,Saules,25580,47.1221869,6.197913,61
2CV Bourgogne Tours,SportsAndLeisurePlace,Beaune,21200,47.014706,4.81785,3
Historial de l'Amitié Franco-Américaine de Beaune,CulturalSite,Beaune,21200,47.029468,4.8615448,3
Visite guidée du village de Pesmes,SportsAndLeisurePlace,Pesmes,70140,47.27982,5.56324,116
Fosse de Coulmier-le-Sec,CulturalSite,Coulmier-le-Sec,21400,47.75021,4.49362,5
Le site des Forges Royales,CulturalSite,Guérigny,58130,47.088139,3.191654,104
La voie du coeur - Charlotte Bertolini,SportsAndLeisurePlace,Saint-Laurent-en-Grandvaux,39150,46.57589,5.95418,90
"Aurélie Muskovac, Massage Beaune",SportsAndLeisurePlace,Beaune,21200,47.01903,4.83666,3
Randonnée à Autrey-Lès-Gray,SportsAndLeisurePlace,Autrey-lès-Gray,70100,47.48628,5.49162,112
Passeport Détente,SportsAndLeisurePlace,Coulanges-sur-Yonne,89480,47.52639,3.53961,98
Terra Nova Mineraux,CulturalSite,Cuisia,39190,46.54284,5.40081,93
Les ouvrages fortifiés : OUVRAGES DE LA CRETE DE POUILLEY-LES-VIGNES (1889-1891),SportsAndLeisurePlace,Pouilley-les-Vignes,25115,47.2538442,5.9376083,65
Champ de César ou d'Agneux,CulturalSite,Rully,71150,46.875041,4.740823,132
Visite guidée : entre ponts,SportsAndLeisurePlace,Besançon,25000,47.24021,6.02725,35
Environnement Pêche Nature,SportsAndLeisurePlace,Foncine-le-Bas,39520,46.6397149,6.0354867,90
Ecole départementale de musique,SportsAndLeisurePlace,Scey-sur-Saône-et-Saint-Albin,70360,47.6654122,5.9670373,120
Céramique Leba Condon,CulturalSite,Pontigny,89230,47.9092538,3.7103548,183
Saule en Fa,CulturalSite,Pontarlier,25300,46.90578,6.35404,64
Ateliers de la Neuvième Art et Thérapie Mireille Kazmine,CulturalSite,Montceau-les-Mines,71300,46.6775153,4.3664159,152
Eglise Notre-Dame et Saint-Blaise,CulturalSite,Bussy-la-Pesle,21540,47.3674713,4.70615457,19
Hopital Saint-Jacques,CulturalSite,Besançon,25000,47.2356406,6.02129101,35
L'Atelier d'Emma,CulturalSite,Bessey-en-Chaume,21360,47.07902,4.743164,3
Abbaye de Fontenay,CulturalSite,Marmagne,21500,47.62156,4.367492,15
Domaine de raquettes du val de morteau,SportsAndLeisurePlace,Morteau,25500,47.05698,6.604106,59
Parc Aventure les Z'accrochés,SportsAndLeisurePlace,Sauvigny-les-Bois,58160,46.9537117,3.2450116,110
Jeu famille - Grimoire d'Alchimiste,SportsAndLeisurePlace,Marcigny,71110,46.274512,4.04132224,155
Michel Sports - Location de vélos,SportsAndLeisurePlace,La Pesse,39370,46.2844784,5.84761644,94
Location de matériel de ski - Intersport Alti 1000,SportsAndLeisurePlace,Métabief,25370,46.7690938,6.35525819,64
Maison du Sabotier,CulturalSite,Flacey-en-Bresse,71580,46.5984567,5.39193562,89
"Fontaines, lavoirs et abreuvoirs de Pin",CulturalSite,Pin,70150,47.3220057,5.86436704,65
Centre équestre de la Forêt de Chaux,SportsAndLeisurePlace,Dole,39100,47.0735723,5.5241681,83
Le Lavoir du Donjon,CulturalSite,Deux Rivières,89460,47.681093,3.69013756,168
Halles de Nolay,CulturalSite,Nolay,21340,46.9520801,4.6334194,146
Musée de l'Ecole en Chalonnais,CulturalSite,Saint-Rémy,71100,46.7662639,4.8369829,159
Le Ball Park des Deux Pirates,SportsAndLeisurePlace,Pontarlier,25300,46.9099704,6.34142729,64
Terroirs By Adeline,SportsAndLeisurePlace,Beaune,21200,47.0283228,4.833457,3
France Intense - Divine Bourgogne Tours,SportsAndLeisurePlace,Beaune,21200,47.0423,4.83627,3
La Basse Cour,CulturalSite,Baume-les-Dames,25110,47.3379189,6.3534798,33
Les Sept Ecluses de Rogny,CulturalSite,Rogny-les-Sept-Écluses,89220,47.7417051,2.87886037,173
Pavillon du Milieu de Loire,CulturalSite,Pouilly-sur-Loire,58150,47.2859665,2.94953229,99
Canoë Kayak - Morvan - Lac des Settons - ACTIVITAL,SportsAndLeisurePlace,Montsauche-les-Settons,58230,47.18644,4.06971,22
Le parc de l'etang,CulturalSite,Battrans,70100,47.4319775,5.64027786,116
Basse vallée du Doubs,Landform,Molay,39500,47.0113357,5.4136931,96
Château d'Ancy-le-Franc,CulturalSite,Ancy-le-Franc,89160,47.7741492,4.1618948,187
"Restauration de céramique, Atelier Tiphaine Jacquinot",CulturalSite,Beaune,21200,46.9521839,4.63471978,132
Eglise Saint-Pierre Es Liens,CulturalSite,Remilly-en-Montagne,21540,47.2925326,4.73424847,19
Expérience Oenologique Evasion,SportsAndLeisurePlace,Santenay,21590,46.912229,4.698951,132
Dégustation 3 vins au Domaine de la Cozanne,SportsAndLeisurePlace,Cormot-Vauchignon,21340,46.96043,4.64155,132
ACTIVE TOURS/ BOURGOGNE EVASION,SportsAndLeisurePlace,Beaune,21200,47.0268479,4.827633,3
Lavoir de la source,CulturalSite,Saint-Boil,71390,46.6463803,4.69224815,131
Musée de la Pipe et du Diamant,CulturalSite,Saint-Claude,39200,46.3869609,5.86623167,94
Église Saint-Eusèbe,CulturalSite,Saint-Huruge,71460,46.5797832,4.56813187,141
Jardin des Bords de Bourbince,CulturalSite,Paray-le-Monial,71600,46.4507966,4.11729238,155
Rêv'artrire,CulturalSite,Nolay,21340,46.9518595,4.6335319,132
Code39 escape game mobile,SportsAndLeisurePlace,Asnans-Beauvoisin,39120,46.94991,5.41122,96
Les Repaires,SportsAndLeisurePlace,Nans-sous-Sainte-Anne,25330,46.9778987,6.0000942,51
Woka Marnay - parcours dans les arbres,SportsAndLeisurePlace,Marnay,70150,47.289145,5.778297,68
Le Chat dans l'Échiquier,CulturalSite,Saint-Privé,89220,47.705776,3.010566,173
La Grotte de Champ Retard - Parcours aventure sur rocher,SportsAndLeisurePlace,Coutarnoux,89440,47.587037,3.964561,169
Ferme équestre de Juilly,SportsAndLeisurePlace,Arconcey,21320,47.208005,4.44404556,22
Château des Princes de Condé,CulturalSite,Arnay-le-Duc,21230,47.1297495,4.48497979,146
Piscine intercommunale,SportsAndLeisurePlace,Morbier,39400,46.5416375,6.0199491,90
Activital Base Sport et Nature de Baye,SportsAndLeisurePlace,Bazolles,58110,47.1781005,3.61934995,98
Automnales,CulturalSite,Vareilles,71800,46.3059473,4.25942293,139
Parc Acroland,SportsAndLeisurePlace,Montenois,25260,47.481597,6.67379979,34
Point de vue sur les hauteurs de Crugey,Landform,Crugey,21360,47.18399,4.67128,3
Chemin des lavoirs,CulturalSite,Fontaines,71150,46.8495618,4.7708189,132
