nom,code_postal,population,latitude,longitude,altitude,id_ville
Champagney,70290,3674,47.70583,6.68306,369,113
Échenoz-la-Méline,70000,3187,47.6025,6.13694,250,114
Fougerolles-Saint-Valbert,70220,3777,47.88639,6.40611,310,115
Gray,70100,5455,47.44639,5.59083,200,116
Héricourt,70400,10525,47.57417,6.75694,350,117
Lure,70200,7912,47.6825,6.49806,295,118
Luxeuil-les-Bains,70300,6674,47.8175,6.38139,290,119
Port-sur-Saône,70170,2966,47.68889,6.04667,220,120
Rioz,70190,2432,47.42528,6.07028,270,121
Ronchamp,70250,2745,47.69944,6.63639,350,122
Saint-Loup-sur-Semouse,70800,2842,47.88639,6.27306,250,123
Vaivre-et-Montoille,70000,2436,47.63083,6.10417,220,124
Vesoul [3],70000,15306,47.62083,6.15806,220,125
Autun,71400,13144,46.95194,4.30222,312,126
Blanzy,71450,5983,46.70278,4.38472,301,127
Bourbon-Lancy,71140,4656,46.62222,3.77417,250,128
Branges,71500,2372,46.64139,5.18,185,129
le Breuil,71670,3508,46.79528,4.48417,330,130
Buxy,71390,2155,46.7125,4.69444,250,131
Chagny,71150,5402,46.90972,4.75472,210,132
Chalon-sur-Saône,71100,44592,46.78611,4.84972,178,133
Champforgeuil,71530,2616,46.82,4.83583,185,134
la Chapelle-de-Guinchay,71570,4038,46.21028,4.755,200,135
Charnay-lès-Mâcon,71850,8154,46.30944,4.78611,272,136
Charolles,71120,2789,46.43472,4.27556,290,137
Châtenoy-le-Royal,71880,6205,46.79083,4.81194,200,138
Chauffailles,71170,3656,46.20667,4.34,386,139
Ciry-le-Noble,71420,2213,46.60583,4.29889,280,140
Cluny,71250,4980,46.43306,4.65944,250,141
Crêches-sur-Saône,71680,3179,46.24417,4.78778,188,142
le Creusot,71200,20536,46.79722,4.42528,354,143
Crissey,71530,2473,46.8175,4.88306,185,144
Digoin,71160,7380,46.48472,3.98417,230,145
Épinac,71360,2150,46.99194,4.51139,350,146
Gergy,71590,2569,46.87528,4.9475,182,147
Givry,71640,3623,46.78278,4.74361,220,148
Gueugnon,71130,6547,46.60306,4.05778,244,149
Louhans,71500,6483,46.62722,5.22389,180,150
Mâcon [3],71000,34759,46.30833,4.83139,190,151
Montceau-les-Mines,71300,16946,46.68167,4.36472,318,152
Montchanin,71210,4982,46.74778,4.46861,330,153
Ouroux-sur-Saône,71370,3183,46.72055,4.95222,190,154
Paray-le-Monial,71600,9256,46.4525,4.12056,244,155
Romanèche-Thorins,71570,2002,46.19083,4.73667,200,156
Saint-Germain-du-Plain,71370,2346,46.70278,4.98167,190,157
Saint-Marcel,71380,6211,46.77555,4.89611,177,158
Saint-Rémy,71100,6476,46.76972,4.83639,180,159
Saint-Vallier,71230,8508,46.64222,4.36889,330,160
Sancé,71000,2158,46.34111,4.83167,200,161
Sanvignes-les-Mines,71410,4265,46.66722,4.29222,350,162
Sennecey-le-Grand,71240,2911,46.63917,4.87028,210,163
Torcy,71210,2805,46.77056,4.45583,310,164
Tournus,71700,5702,46.56083,4.91111,180,165
Varennes-le-Grand,71240,2287,46.71111,4.87778,187,166
Appoigny,89380,3133,47.87667,3.52556,96,167
Auxerre [3],89000,35236,47.79833,3.57139,120,168
Avallon,89200,6346,47.48889,3.91028,220,169
Brienon-sur-Armançon,89210,3060,47.99278,3.61722,100,170
Chablis,89800,2151,47.815,3.79833,140,171
Champigny,89340,2127,48.31805,3.1275,80,172
Charny-Orée-de-Puisaye,89120,4854,47.88611,3.09556,135,173
Cheny,89400,2231,47.95278,3.53556,90,174
Chevannes,89240,2145,47.75195,3.49444,170,175
Joigny,89300,9055,47.98306,3.3975,100,176
Migennes,89400,6878,47.96611,3.51333,100,177
Monéteau,89470,4113,47.84972,3.57861,95,178
Montholon,89110,2730,47.87472,3.35111,120,179
Paron,89100,4855,48.17778,3.25028,80,180
Pont-sur-Yonne,89140,3357,48.2875,3.20861,80,181
Saint-Clément,89100,2813,48.21667,3.28806,70,182
Saint-Florentin,89600,4230,48.00111,3.72694,120,183
Saint-Georges-sur-Baulche,89000,3176,47.80611,3.53389,160,184
Saint-Julien-du-Sault,89330,2202,48.03028,3.29583,90,185
Sens,89100,27275,48.19722,3.28583,70,186
Tonnerre,89700,4268,47.85444,3.97583,150,187
Toucy,89130,2562,47.735,3.29444,190,188
Villeneuve-la-Guyard,89340,3470,48.34,3.06472,70,189
Villeneuve-sur-Yonne,89500,5130,48.08028,3.29778,80,190
Bavilliers,90800,4641,47.61972,6.83222,356,191
Beaucourt,90500,4985,47.48972,6.92806,440,192
Belfort [3],90000,45646,47.64222,6.85583,361,193
Châtenois-les-Forges,90700,2637,47.55861,6.85,340,194
Danjoutin,90400,3531,47.61611,6.86444,356,195
Delle,90100,5677,47.50833,6.99778,380,196
Essert,90850,3382,47.63389,6.81556,360,197
Évette-Salbert,90350,2022,47.67722,6.80083,400,198
Giromagny,90200,2897,47.74667,6.82139,488,199
Grandvillars,90600,2963,47.53917,6.97611,354,200
Offemont,90300,4054,47.66444,6.87889,370,201
Valdoie,90300,5193,47.66722,6.8425,375,202
