ville1,ville2,distance,id_liaison
1,2,13.022155779628322,1
1,5,19.64887216596745,2
1,8,8.140767703659833,3
1,9,11.377208595842319,4
1,10,10.51879701764469,5
1,11,2.50308922411667,6
1,12,5.298145618440767,7
1,13,15.465963814010538,8
1,14,2.7549305577770045,9
1,16,16.428135681917603,10
1,17,18.4970299829432,11
1,19,9.872166054101747,12
1,21,18.691412986776708,13
1,22,11.407758179240455,14
1,23,4.147588605389239,15
1,26,11.704550617335208,16
1,28,12.609956967054739,17
1,29,11.578344015292988,18
1,30,4.864835311951399,19
1,32,9.275285248737463,20
1,33,6.096156361619422,21
1,34,9.819018152787267,22
1,38,10.479413543647137,23
1,40,3.9417848510622924,24
1,42,8.22761568191996,25
1,43,10.478225774821142,26
2,5,6.963511688532944,27
2,8,14.291429240675875,28
2,9,6.226582481717693,29
2,10,3.1540471700282886,30
2,11,14.471877235953842,31
2,12,11.906131487602801,32
2,13,15.617973696540277,33
2,14,12.8922642708784,34
2,15,11.65454173900677,35
2,19,11.630603918424177,36
2,21,19.96329367574278,37
2,22,17.302640312533523,38
2,23,14.716960845611707,39
2,24,11.418723758834574,40
2,26,9.49419940147256,41
2,28,12.573003292064145,42
2,29,16.40862669899234,43
2,30,16.536621830744153,44
2,32,6.535258134628577,45
2,33,8.139584620752244,46
2,34,7.362742736052453,47
2,38,8.830957624281432,48
2,40,14.096276824160082,49
2,41,15.552056365013831,50
2,42,4.828277508828434,51
3,5,19.590787955779845,52
3,6,14.531971030309323,53
3,15,13.71565935588411,54
3,20,14.194153172011704,55
3,41,13.816830309372122,56
3,118,13.524104492042648,57
3,119,14.024850583694658,58
3,120,13.595392049814656,59
3,132,18.38593783276514,60
3,136,17.85979200531425,61
4,18,5.843934388670712,62
4,27,15.114439058548742,63
4,192,14.286683399444861,64
4,208,10.816752980784507,65
4,215,18.448099879542234,66
4,234,18.367094057190887,67
4,238,10.115486947416331,68
5,9,12.444960351798464,69
5,10,10.0783424337163,70
5,12,18.867259449139077,71
5,14,19.787947580986113,72
5,15,13.410668895763946,73
5,19,18.19215486519279,74
5,24,5.67152930749038,75
5,26,15.57718499707005,76
5,28,18.618106097472573,77
5,32,13.293965664364494,78
5,33,15.101447587129897,79
5,34,11.701975455040069,80
5,38,15.224979170989716,81
5,41,17.61949663280541,82
