label,category,latitude,longitude,commune_proche
"Velovitamine - Balade Oenologique à vélo ""Côte de Nuits 1er Cru"" Dijon à Gevrey-Chambertin",SportsAndLeisurePlace,47.2935893,5.0010864,Jougne
PORTRAITS D’ARCHITECTES : Claude-Antoine Colombot (1747-1821),SportsAndLeisurePlace,47.23507,6.02606,Damprichard
A Tour de Roues,SportsAndLeisurePlace,46.9014235,5.7708211,Jougne
Médiathèque intercommunale,CulturalSite,46.801642,5.45301799,Jougne
La Calèche de Clem,SportsAndLeisurePlace,47.6953151,3.9957636,Jougne
"Balades sonores : Vauban, ses fortifications, sa Citadelle",SportsAndLeisurePlace,47.2431592,6.0189455,Damprichard
Base nautique du Vézenay,SportsAndLeisurePlace,46.8079029,6.30977568,Damprichard
KANWITA - Ateliers et sorties Nature au coeur de la forêt,SportsAndLeisurePlace,46.23116,4.33033,Jougne
Point de vue du Fort Malher,Landform,46.8763281,6.37801408,Damprichard
Mom Plume Créations,CulturalSite,47.41977,6.1828,Damprichard
Les vergers-potagers du château de Montigny-sur-Aube,CulturalSite,47.9525443,4.7788723,Jougne
L'Ecole des Vins de Bourgogne,SportsAndLeisurePlace,47.0090711,4.8480371,Jougne
Le Moulin des tachyons,SportsAndLeisurePlace,47.9245108,4.57694451,Jougne
Vino Dilectio,SportsAndLeisurePlace,47.31747,5.03428,Jougne
Abbaye Sainte Marie de la Pierre-Qui-Vire,CulturalSite,47.358347,4.062761,Jougne
Double et Triple écluses de Chavance,Landform,47.114412,3.633283,Jougne
Point de vue de Renédale,Landform,47.0205244,6.27915181,Damprichard
Retable de l'église de l'assomption,CulturalSite,47.564877,5.620951,Damprichard
Récré'à'Elle,CulturalSite,46.220418,4.287794,Jougne
Vitteaut-Alberti,SportsAndLeisurePlace,46.8752,4.74995,Jougne
Lac de Pannecière,Landform,47.155027,3.895771,Jougne
Maison & Laboratoire de Louis Pasteur,CulturalSite,46.9065649,5.76954424,Jougne
Domaine Drain,SportsAndLeisurePlace,46.7715657,4.69739086,Jougne
Andréas corso - art cuir design,CulturalSite,47.0822849,5.9615546,Damprichard
VISITES GUIDEES,SportsAndLeisurePlace,47.3237985,5.0386146,Jougne
Jura Ciel,SportsAndLeisurePlace,46.9501,5.83101,Jougne
frédérique danse - exploratrice TYPO*graphique,SportsAndLeisurePlace,48.0459065,3.6012306,Jougne
Vignoble de Villaines-Viserny,Landform,47.556158,4.29457284,Jougne
Ecole d'Equitation - Les Gambades,SportsAndLeisurePlace,47.226088,3.887417,Jougne
Chapelle de Saint-Georges,CulturalSite,46.3216966,4.26664347,Jougne
Le belvédère du Duchet,Landform,46.5116176,5.8397192,Jougne
Hôtel particulier - Hôtel de Froissard,CulturalSite,47.0918062,5.4911962,Jougne
Le Ru Blanc,Landform,47.410148,4.898834,Jougne
La Ligne des Hirondelles,CulturalSite,46.5263064,6.0235415,Jougne
Belvédère du Bénédegand,Landform,46.7328604,5.892663,Jougne
Les attelages de l'Auxois,SportsAndLeisurePlace,47.4449865,4.4976428,Jougne
Piscine de la Vallée des Vaux,SportsAndLeisurePlace,46.80987,4.70215,Jougne
Golf du Val de Sorne,SportsAndLeisurePlace,46.6396546,5.56354522,Jougne
Marché aux Vins - Dégustation Découverte,SportsAndLeisurePlace,47.02165,4.83734,Jougne
Giant city Maîche,SportsAndLeisurePlace,47.24106,6.78534,Damprichard
Aéro-Club Beaunois,SportsAndLeisurePlace,47.0111874,4.89355735,Jougne
Chronovert,SportsAndLeisurePlace,47.707009,3.202362,Jougne
"Sentier de randonnee ""la Voie du Sel et du Charbon""",SportsAndLeisurePlace,47.5807377,6.4719665,Damprichard
Médiathèque Intercommunale de la Vallée du Drugeon,CulturalSite,46.8569357,6.1610852,Jougne
Jump Street Trampoline Park,SportsAndLeisurePlace,47.4490587,6.8368643,Damprichard
"Enquête ""Meurtre à la Saline royale""",SportsAndLeisurePlace,47.0331753,5.7776263,Jougne
Woka marnay - espace enfants,SportsAndLeisurePlace,47.2894047,5.77687822,Damprichard
Écuries K des Lys,SportsAndLeisurePlace,47.2946496,4.23498486,Jougne
Aéro-Club de la Côte-d'Or,SportsAndLeisurePlace,47.3861237,4.9451254,Jougne
Poupet vol libre,SportsAndLeisurePlace,46.9724635,5.86485385,Jougne
Château de Saint-Aubin - Maison Prosper Maufoux : Expérience Grands Crus,SportsAndLeisurePlace,46.94994,4.70941,Jougne
"ATELIER DECOUVERTE A L’OBSERVATOIRE : ""A LA SECONDE PRES""",SportsAndLeisurePlace,47.2474417,5.9897384,Damprichard
Site archéologique de Bibracte,CulturalSite,46.93218,4.04752,Jougne
Atelier de tournage sur bois,CulturalSite,47.5392076,5.9505368,Damprichard
Centre Omnisports Pierre Croppet,SportsAndLeisurePlace,47.2481251,5.97261428,Damprichard
Location de vélos - Office de tourisme CAP Val de Saône – Bureau de Pontailler-sur-Saône,SportsAndLeisurePlace,47.3041716,5.4173617,Jougne
Poterie les mains et la terre,CulturalSite,47.32627,6.76724,Damprichard
Musée Jean Larcena,CulturalSite,48.1872246,3.2763907,Jougne
Matthieu fishing,SportsAndLeisurePlace,47.2466937,6.04036569,Damprichard
"Visite privative ""Epicurienne"" à la Maison Jean Loron",SportsAndLeisurePlace,46.2126293,4.774853,Jougne
Église Saint-Claude,CulturalSite,47.199497,4.66822749,Jougne
Jeux pour enfants à Clamecy,SportsAndLeisurePlace,47.461615,3.516129,Jougne
Réservoir de Chazilly,Landform,47.1887171,4.60136773,Jougne
Françoise Mussel,CulturalSite,46.6312735,4.4780363,Jougne
Marion Rouchet Céramique,CulturalSite,47.2822,5.56219,Jougne
Michèle Coustou,CulturalSite,47.2192059,4.64050676,Jougne
Forêt de chaux,Landform,47.0850853,5.65795898,Jougne
Chapelle des Forges-de-la-Ferrière,CulturalSite,46.746564,6.38111359,Damprichard
Eglise de Saint-Pierre et Saint-Paul de Cravant,CulturalSite,47.6818659,3.68929266,Jougne
Le Café Parisien,SportsAndLeisurePlace,47.2791658,4.228734,Jougne
Le Chemin des Sens - Art et artisanat d'art,CulturalSite,47.23592,6.02173072,Damprichard
Techni-Café,CulturalSite,47.3304712,6.0164738,Damprichard
VSD39,SportsAndLeisurePlace,47.1025598,5.5016487,Jougne
Ferme du Champ Bressan,CulturalSite,46.5013943,5.06660434,Jougne
La Fée Mohair,CulturalSite,46.861689,3.328254,Jougne
Nathalie Thénoz - Coach de vie,SportsAndLeisurePlace,47.79547,3.5636,Jougne
Castel Saint-Denis,CulturalSite,47.09563,6.08213,Damprichard
Belvedere d'etobon,Landform,47.616292,6.676662,Damprichard
Pêche sur l'Ognon,SportsAndLeisurePlace,47.27981,5.56836,Jougne
Lavoir de Beines,CulturalSite,47.8203534,3.71916299,Jougne
Château d'Epiry,CulturalSite,46.8803993,4.49303883,Jougne
Table d'orientation,Landform,46.750878,3.837792,Jougne
Pierre de la Caraude,Landform,47.935043,6.373942,Damprichard
L'Atelier du hibou,CulturalSite,47.56069,5.73914,Damprichard
La Sablière communale de Villecomte,SportsAndLeisurePlace,47.508657,5.029758,Jougne
La Fabrique Pluriel,CulturalSite,46.3990598,4.30049681,Jougne
Bibliotheque municipale,CulturalSite,47.31485,5.50852,Jougne
Église Saint-Laurent,CulturalSite,47.081607,4.590625,Jougne
Guenard Didier,CulturalSite,46.6693821,4.85632895,Jougne
Église Saint-Laurent,CulturalSite,46.8058867,4.42205958,Jougne
Les Tours,CulturalSite,46.8283278,3.45888691,Jougne
Accrobranche Montciel Aventure,SportsAndLeisurePlace,46.6682357,5.5377755,Jougne
Hôtel de Sassenay,CulturalSite,47.3196423,5.0384331,Jougne
Croix du Dan,Landform,46.8293936,5.70843614,Jougne
Sentier Botanique de Rurey,Landform,47.095478,6.009653,Damprichard
Fort Brûlé Paintball,SportsAndLeisurePlace,47.3670171,5.04746,Jougne
Etang de la Galette,SportsAndLeisurePlace,46.5970828,5.25696895,Jougne
Art d'Ici : la boutique des artisans d'art à Saint-Amand-en-Puisaye,CulturalSite,47.53156,3.07292,Jougne
A Cloche-Pierres,CulturalSite,46.328255,4.533322,Jougne
Prieuré Saint-Hilaire de Commagny,CulturalSite,46.973558,3.790571,Jougne
Château de Flée,CulturalSite,47.43598,4.32658,Jougne
Grès de Ratilly,CulturalSite,47.5541504,3.16756956,Jougne
Fouilles archéologiques de Cestres,CulturalSite,47.434235,4.799508,Jougne
"L'Hostellerie, Centre d'Art Singulier",CulturalSite,47.320648,5.01778625,Jougne
Nordik Jura,SportsAndLeisurePlace,46.3004254,5.8245425,Jougne
Histopad de la Saline royale,CulturalSite,47.03148,5.77808,Jougne
Tennis Club Marcigny,SportsAndLeisurePlace,46.2773301,4.0356909,Jougne
Dégustation Vins et Chocolats,SportsAndLeisurePlace,46.98629,4.74674,Jougne
"Visite guidée ""Autun, toute une histoire""",SportsAndLeisurePlace,46.9490591,4.2982648,Jougne
Chiens de traineaux - Terre et Neige,SportsAndLeisurePlace,46.524786,5.854826,Jougne
Stages avec Les Arts du Japon,SportsAndLeisurePlace,47.1031241,6.1456625,Damprichard
Église Saint-Étienne,CulturalSite,46.7323898,5.98754882,Jougne
Communauté de Taizé,CulturalSite,46.5158629,4.67941594,Jougne
Sellerie Isatis,CulturalSite,46.57598,5.43821,Jougne
Eglise Saint-Isidore,CulturalSite,46.75415,4.7098,Jougne
Zone de tranquillité de la vie sauvage - 4 lacs,Landform,46.604226,5.9037499,Jougne
Dégustation de vins terroirs bourguignons - DSVin,SportsAndLeisurePlace,47.025304,4.839521,Jougne
Square du 19 Mars 1962 (XXème siècle),CulturalSite,46.4533594,4.11874884,Jougne
Sanctuaire de Paray-le-Monial,CulturalSite,46.4498177,4.12248132,Jougne
Eglise,CulturalSite,47.1221869,6.197913,Damprichard
2CV Bourgogne Tours,SportsAndLeisurePlace,47.014706,4.81785,Jougne
Historial de l'Amitié Franco-Américaine de Beaune,CulturalSite,47.029468,4.8615448,Jougne
Visite guidée du village de Pesmes,SportsAndLeisurePlace,47.27982,5.56324,Jougne
Fosse de Coulmier-le-Sec,CulturalSite,47.75021,4.49362,Jougne
Le site des Forges Royales,CulturalSite,47.088139,3.191654,Jougne
La voie du coeur - Charlotte Bertolini,SportsAndLeisurePlace,46.57589,5.95418,Jougne
"Aurélie Muskovac, Massage Beaune",SportsAndLeisurePlace,47.01903,4.83666,Jougne
Randonnée à Autrey-Lès-Gray,SportsAndLeisurePlace,47.48628,5.49162,Jougne
Passeport Détente,SportsAndLeisurePlace,47.52639,3.53961,Jougne
Terra Nova Mineraux,CulturalSite,46.54284,5.40081,Jougne
Les ouvrages fortifiés : OUVRAGES DE LA CRETE DE POUILLEY-LES-VIGNES (1889-1891),SportsAndLeisurePlace,47.2538442,5.9376083,Damprichard
Champ de César ou d'Agneux,CulturalSite,46.875041,4.740823,Jougne
Visite guidée : entre ponts,SportsAndLeisurePlace,47.24021,6.02725,Damprichard
Environnement Pêche Nature,SportsAndLeisurePlace,46.6397149,6.0354867,Jougne
Ecole départementale de musique,SportsAndLeisurePlace,47.6654122,5.9670373,Damprichard
Céramique Leba Condon,CulturalSite,47.9092538,3.7103548,Jougne
Saule en Fa,CulturalSite,46.90578,6.35404,Damprichard
Ateliers de la Neuvième Art et Thérapie Mireille Kazmine,CulturalSite,46.6775153,4.3664159,Jougne
Eglise Notre-Dame et Saint-Blaise,CulturalSite,47.3674713,4.70615457,Jougne
Hopital Saint-Jacques,CulturalSite,47.2356406,6.02129101,Damprichard
L'Atelier d'Emma,CulturalSite,47.07902,4.743164,Jougne
Abbaye de Fontenay,CulturalSite,47.62156,4.367492,Jougne
Domaine de raquettes du val de morteau,SportsAndLeisurePlace,47.05698,6.604106,Damprichard
Parc Aventure les Z'accrochés,SportsAndLeisurePlace,46.9537117,3.2450116,Jougne
Jeu famille - Grimoire d'Alchimiste,SportsAndLeisurePlace,46.274512,4.04132224,Jougne
Michel Sports - Location de vélos,SportsAndLeisurePlace,46.2844784,5.84761644,Jougne
