nom,code_postal,population,latitude,longitude,altitude,id_ville
Ahuy,21121,1695,47.36917,5.02139,290,1
Arc-sur-Tille,21560,2590,47.34417,5.19028,220,2
Auxonne,21130,7592,47.19417,5.38833,185,3
Beaune,21200,20233,47.02417,4.84028,220,4
Belleneuve,21310,1575,47.35472,5.28139,200,5
Brazey-en-Plaine,21470,2425,47.135,5.21694,184,6
Châtillon-sur-Seine,21400,5404,47.85917,4.57444,230,7
Chenôve,21300,14299,47.29611,5.01444,280,8
Chevigny-Saint-Sauveur,21800,10895,47.30222,5.13556,215,9
Couternon,21560,1903,47.33417,5.15111,217,10
Daix,21121,1520,47.35278,4.99861,340,11
Dijon [4],21000,159941,47.3225,5.03556,245,12
Fénay,21600,1724,47.23306,5.06361,230,13
Fontaine-lès-Dijon,21121,9032,47.34444,5.01917,300,14
Genlis,21110,5125,47.24139,5.22056,199,15
Gevrey-Chambertin,21220,2983,47.22583,4.96861,280,16
Is-sur-Tille,21120,4308,47.52361,5.11278,280,17
Ladoix-Serrigny,21550,1783,47.06528,4.88833,215,18
Longvic,21600,8787,47.285,5.06306,226,19
Losne,21170,1712,47.09861,5.26389,180,20
Marcilly-sur-Tille,21120,1734,47.51944,5.13278,280,21
Marsannay-la-Côte,21160,5440,47.26889,4.98944,271,22
Messigny-et-Vantoux,21380,1694,47.40639,5.01778,310,23
Mirebeau-sur-Bèze,21310,1937,47.39917,5.31833,200,24
Montbard,21500,4751,47.62583,4.34139,211,25
Neuilly-Crimolois,21800,3430,47.28083,5.10583,225,26
Nuits-Saint-Georges,21700,5263,47.13722,4.95111,244,27
Ouges,21600,1505,47.26194,5.07583,220,28
Perrigny-lès-Dijon,21160,2321,47.26556,5.00611,253,29
Plombières-lès-Dijon,21370,2508,47.34195,4.97083,270,30
Pouilly-en-Auxois,21320,1554,47.2625,4.55528,400,31
Quetigny,21800,8897,47.315,5.115,220,32
Saint-Apollinaire,21850,7517,47.33389,5.08333,250,33
Saint-Julien,21490,1749,47.40194,5.1425,235,34
Saulieu,21210,2269,47.2825,4.23139,540,35
Selongey,21260,2394,47.58861,5.18472,300,36
Semur-en-Auxois,21140,4027,47.49306,4.33139,280,37
Sennecey-lès-Dijon,21800,2125,47.29222,5.10167,225,38
Seurre,21250,2336,46.99556,5.14639,180,39
Talant,21240,11986,47.33583,5.00361,360,40
Tart,21110,1533,47.20472,5.20611,231,41
Varois-et-Chaignot,21490,2068,47.34945,5.12667,230,42
Velars-sur-Ouche,21370,1829,47.32028,4.9025,290,43
Venarey-les-Laumes,21150,2758,47.54333,4.45778,240,44
Arc-et-Senans,25610,1621,47.03667,5.78833,243,45
Audincourt,25400,14009,47.47778,6.84139,322,46
Avanne-Aveney,25720,2237,47.20167,5.96583,250,47
Bart,25420,2015,47.49306,6.77056,314,48
Baume-les-Dames,25110,5064,47.35444,6.36056,280,49
Bavans,25550,3566,47.48306,6.72944,330,50
Besançon [4],25000,120057,47.24528,6.02583,261,51
Bethoncourt,25200,5288,47.53417,6.80056,354,52
Charquemont,25140,2867,47.21389,6.82306,870,53
Châtillon-le-Duc,25870,2025,47.30778,6.00667,300,54
Chemaudin et Vaux,25320,2114,47.22472,5.89056,300,55
Dampierre-les-Bois,25490,1565,47.50778,6.91139,370,56
Damprichard,25450,1825,47.24583,6.88194,812,57
Dannemarie-sur-Crète,25410,1503,47.20667,5.86472,286,58
Doubs,25300,3309,46.92805,6.35083,810,59
École-Valentin,25480,2620,47.27111,5.98111,317,60
Étalans,25580,1648,47.15028,6.26889,590,61
Étupes,25460,3711,47.50806,6.86417,340,62
Exincourt,25400,3273,47.50083,6.83861,333,63
Fesches-le-Châtel,25490,2147,47.52361,6.89778,340,64
les Fins,25500,3062,47.07833,6.62917,850,65
Franois,25770,2250,47.23389,5.92444,294,66
Frasne,25560,1958,46.85556,6.15972,850,67
Gilley,25650,1805,47.04889,6.48,890,68
Grand'Combe-Châteleu,25570,1507,47.02722,6.56861,770,69
Grand-Charmont,25200,5865,47.52611,6.825,340,70
Grandfontaine,25320,1810,47.19861,5.90028,240,71
Hérimoncourt,25310,3530,47.44305,6.88167,361,72
l'Isle-sur-le-Doubs,25250,2812,47.44695,6.58583,296,73
Jougne,25370,1915,46.76194,6.39083,1001,74
Les Auxons,25870,2522,47.30111,5.97222,260,75
Levier,25270,2345,46.95361,6.11583,720,76
Maîche,25120,4226,47.25306,6.80222,790,77
Mamirolle,25620,1974,47.19722,6.16139,480,78
Mandeure,25350,4672,47.45194,6.80667,335,79
Mathay,25700,2131,47.43722,6.78472,335,80
Miserey-Salines,25480,2660,47.28305,5.97,300,81
Montbéliard,25200,25516,47.51194,6.8,330,82
