nom,code_postal,population,latitude,longitude,altitude,id_ville
Montfaucon,25660,1608,47.23583,6.08056,490,83
Montferrand-le-Château,25320,2191,47.17805,5.92444,290,84
Montlebon,25500,2227,47.03917,6.61278,800,85
Morteau,25500,6905,47.0575,6.60222,760,86
Nommay,25600,1601,47.53917,6.8475,330,87
Orchamps-Vennes,25390,2180,47.13167,6.525,750,88
Ornans,25290,4421,47.10556,6.1425,345,89
Pays-de-Montbenoît,25650,1914,46.99222,6.46139,800,90
Pelousey,25170,1588,47.27611,5.92139,242,91
Pirey,25480,2179,47.26278,5.96667,300,92
Pont-de-Roide,25150,3971,47.38556,6.77139,350,93
Pontarlier,25300,17928,46.905,6.35528,840,94
Pouilley-les-Vignes,25115,2162,47.25694,5.93556,240,95
Les Premiers Sapins,25580,1576,47.09555,6.34028,710,96
Roche-lez-Beaupré,25220,2185,47.27611,6.11417,250,97
le Russey,25210,2546,47.16306,6.72889,880,98
Saint-Vit,25410,5059,47.18167,5.81139,257,99
Saône,25660,3142,47.22472,6.11694,390,100
Seloncourt,25230,5812,47.46222,6.86056,345,101
Serre-les-Sapins,25770,1921,47.24194,5.92806,300,102
Sochaux,25600,3772,47.51639,6.83056,320,103
Thise,25220,2990,47.28472,6.08056,280,104
Val-d'Usiers,25520,2128,46.95972,6.26833,750,105
Valdahon,25800,5715,47.1475,6.34611,650,106
Valentigney,25700,10624,47.4675,6.83333,326,107
Vercel-Villedieu-le-Camp,25530,1732,47.18389,6.39917,650,108
Vieux-Charmont,25600,2829,47.52417,6.83972,330,109
Villers-le-Lac,25130,5248,47.06111,6.66972,780,110
Voujeaucourt,25420,3152,47.475,6.77417,317,111
Arbois,39600,3146,46.90055,5.77278,292,112
Bletterans,39140,1530,46.74472,5.45111,203,113
Bois-d'Amont,39220,1695,46.53417,6.14056,1073,114
Champagnole,39300,8035,46.74389,5.90806,540,115
Chaussin,39120,1576,46.96583,5.405,188,116
Coteaux du Lizon,39170,2146,46.39778,5.78861,582,117
Damparis,39500,2590,47.07361,5.41194,200,118
Dole,39100,23784,47.09167,5.49639,225,119
Foucherans,39100,2286,47.08055,5.45472,212,120
Hauts-de-Bienne,39400,5099,46.515,6.025,750,121
Lavans-lès-Saint-Claude,39170,2342,46.38361,5.78028,520,122
Lons-le-Saunier [3],39000,16942,46.6725,5.55222,267,123
Moirans-en-Montagne,39260,2121,46.42972,5.72278,630,124
Montmorot,39570,3207,46.67694,5.52833,260,125
Morbier,39400,2371,46.53472,6.01694,910,126
Orgelet,39270,1571,46.5225,5.61028,500,127
Perrigny,39570,1535,46.66833,5.58278,310,128
Poligny,39800,4089,46.83444,5.7075,347,129
les Rousses,39220,3702,46.485,6.06056,1100,130
Saint-Amour,39160,2364,46.43583,5.34083,225,131
Saint-Aubin,39410,1855,47.03361,5.33028,188,132
Saint-Claude,39200,8556,46.38806,5.86361,434,133
Saint-Laurent-en-Grandvaux,39150,1818,46.575,5.95167,900,134
Salins-les-Bains,39110,2430,46.94083,5.87778,357,135
Tavaux,39500,3926,47.03389,5.40361,193,136
Cercy-la-Tour,58340,1683,46.87028,3.64417,200,137
la Charité-sur-Loire,58400,4701,47.17889,3.01917,170,138
Château-Chinon (Ville),58120,1857,47.065,3.93389,534,139
Chaulgnes,58400,1503,47.13028,3.10528,224,140
Clamecy,58500,3597,47.45861,3.51889,150,141
Cosne-Cours-sur-Loire,58200,9786,47.40917,2.92333,150,142
Coulanges-lès-Nevers,58660,3678,47.00555,3.18917,192,143
Decize,58300,5025,46.82778,3.45361,193,144
Donzy,58220,1542,47.37083,3.12444,182,145
Fourchambault,58600,4019,47.02139,3.08306,173,146
Garchizy,58600,3666,47.04694,3.09611,210,147
Guérigny,58130,2512,47.09028,3.19778,210,148
Imphy,58160,3175,46.92861,3.265,200,149
Luzy,58170,1983,46.78889,3.97139,227,150
la Machine,58260,3213,46.89056,3.46667,260,151
Marzy,58180,3650,46.98056,3.08944,190,152
Nevers [3],58000,33172,46.99445,3.15556,201,153
Pougues-les-Eaux,58320,2388,47.07417,3.10278,202,154
Pouilly-sur-Loire,58150,1623,47.28305,2.95861,160,155
Prémery,58700,1782,47.17222,3.33083,240,156
Saint-Éloi,58000,2220,46.97306,3.22333,190,157
Saint-Léger-des-Vignes,58300,1669,46.84306,3.45472,210,158
Saint-Pierre-le-Moûtier,58240,1828,46.79389,3.11861,232,159
Urzy,58130,1735,47.04778,3.20417,190,160
Varennes-Vauzelles,58640,9166,47.0125,3.13917,199,161
Arc-lès-Gray,70100,2410,47.45861,5.58028,200,162
Champagney,70290,3674,47.70583,6.68306,369,163
Champlitte,70600,1601,47.61667,5.51056,220,164
Échenoz-la-Méline,70000,3187,47.6025,6.13694,250,165
Fougerolles-Saint-Valbert,70220,3777,47.88639,6.40611,310,166
Froideconche,70300,1974,47.81944,6.41472,300,167
Gray,70100,5455,47.44639,5.59083,200,168
Héricourt,70400,10525,47.57417,6.75694,350,169
Jussey,70500,1550,47.82583,5.90139,215,170
Lure,70200,7912,47.6825,6.49806,295,171
Luxeuil-les-Bains,70300,6674,47.8175,6.38139,290,172
Marnay,70150,1527,47.28944,5.77167,220,173
Mélisey,70270,1643,47.75361,6.58194,328,174
Navenne,70000,1591,47.60778,6.16361,280,175
Noidans-lès-Vesoul,70000,1979,47.61444,6.12389,229,176
Plancher-Bas,70290,1855,47.72111,6.73139,428,177
Port-sur-Saône,70170,2966,47.68889,6.04667,220,178
Rioz,70190,2432,47.42528,6.07028,270,179
Ronchamp,70250,2745,47.69944,6.63639,350,180
Saint-Loup-sur-Semouse,70800,2842,47.88639,6.27306,250,181
Saint-Sauveur,70300,1929,47.80333,6.38361,283,182
Scey-sur-Saône-et-Saint-Albin,70360,1528,47.66583,5.97194,210,183
Vaivre-et-Montoille,70000,2436,47.63083,6.10417,220,184
Vesoul [3],70000,15306,47.62083,6.15806,220,185
Autun,71400,13144,46.95194,4.30222,312,186
Blanzy,71450,5983,46.70278,4.38472,301,187
Bourbon-Lancy,71140,4656,46.62222,3.77417,250,188
Branges,71500,2372,46.64139,5.18,185,189
le Breuil,71670,3508,46.79528,4.48417,330,190
Buxy,71390,2155,46.7125,4.69444,250,191
Chagny,71150,5402,46.90972,4.75472,210,192
Chalon-sur-Saône,71100,44592,46.78611,4.84972,178,193
Champforgeuil,71530,2616,46.82,4.83583,185,194
la Chapelle-de-Guinchay,71570,4038,46.21028,4.755,200,195
Charnay-lès-Mâcon,71850,8154,46.30944,4.78611,272,196
Charolles,71120,2789,46.43472,4.27556,290,197
Châtenoy-le-Royal,71880,6205,46.79083,4.81194,200,198
Chauffailles,71170,3656,46.20667,4.34,386,199
Ciry-le-Noble,71420,2213,46.60583,4.29889,280,200
la Clayette,71800,1596,46.29,4.3075,400,201
Cluny,71250,4980,46.43306,4.65944,250,202
Crêches-sur-Saône,71680,3179,46.24417,4.78778,188,203
le Creusot,71200,20536,46.79722,4.42528,354,204
Crissey,71530,2473,46.8175,4.88306,185,205
Cuiseaux,71480,1853,46.49389,5.38722,276,206
Cuisery,71290,1580,46.55722,4.99806,200,207
Demigny,71150,1769,46.92694,4.83583,200,208
Digoin,71160,7380,46.48472,3.98417,230,209
Écuisses,71210,1624,46.75611,4.53833,350,210
Épervans,71380,1642,46.75389,4.89917,187,211
Épinac,71360,2150,46.99194,4.51139,350,212
Étang-sur-Arroux,71190,1788,46.86694,4.18528,275,213
Fontaines,71150,1845,46.85,4.77333,195,214
Gergy,71590,2569,46.87528,4.9475,182,215
Givry,71640,3623,46.78278,4.74361,220,216
Gueugnon,71130,6547,46.60306,4.05778,244,217
Hurigny,71870,1908,46.34806,4.79639,300,218
Louhans,71500,6483,46.62722,5.22389,180,219
Lux,71100,1902,46.75361,4.85583,186,220
Mâcon [3],71000,34759,46.30833,4.83139,190,221
Marcigny,71110,1711,46.27444,4.03972,260,222
Montceau-les-Mines,71300,16946,46.68167,4.36472,318,223
Montcenis,71710,1864,46.78861,4.38778,400,224
Montchanin,71210,4982,46.74778,4.46861,330,225
Ouroux-sur-Saône,71370,3183,46.72055,4.95222,190,226
Paray-le-Monial,71600,9256,46.4525,4.12056,244,227
Perrecy-les-Forges,71420,1546,46.61333,4.21639,289,228
Pierre-de-Bresse,71270,1945,46.8825,5.25833,197,229
Prissé,71960,1865,46.32056,4.74472,210,230
la Roche-Vineuse,71960,1571,46.34333,4.72778,300,231
Romanèche-Thorins,71570,2002,46.19083,4.73667,200,232
Romenay,71470,1740,46.50139,5.06639,210,233
Rully,71150,1581,46.87333,4.74167,240,234
Saint-Germain-du-Bois,71330,1947,46.75195,5.24306,210,235
Saint-Germain-du-Plain,71370,2346,46.70278,4.98167,190,236
Saint-Léger-sur-Dheune,71510,1554,46.845,4.63694,240,237
Saint-Loup-Géanges,71350,1643,46.94639,4.90944,185,238
Saint-Marcel,71380,6211,46.77555,4.89611,177,239
Saint-Martin-en-Bresse,71620,1902,46.81722,5.06083,185,240
Saint-Rémy,71100,6476,46.76972,4.83639,180,241
Saint-Sernin-du-Bois,71200,1729,46.84083,4.43361,447,242
Saint-Vallier,71230,8508,46.64222,4.36889,330,243
Sancé,71000,2158,46.34111,4.83167,200,244
Sanvignes-les-Mines,71410,4265,46.66722,4.29222,350,245
Sassenay,71530,1601,46.83083,4.92389,180,246
Sennecey-le-Grand,71240,2911,46.63917,4.87028,210,247
Simandre,71290,1744,46.6225,4.9875,200,248
Sornay,71500,1958,46.62972,5.18222,179,249
Torcy,71210,2805,46.77056,4.45583,310,250
Tournus,71700,5702,46.56083,4.91111,180,251
Varennes-le-Grand,71240,2287,46.71111,4.87778,187,252
Verdun-Ciel,71350,1838,46.895,5.02417,176,253
Appoigny,89380,3133,47.87667,3.52556,96,254
Auxerre [3],89000,35236,47.79833,3.57139,120,255
Avallon,89200,6346,47.48889,3.91028,220,256
Brienon-sur-Armançon,89210,3060,47.99278,3.61722,100,257
Chablis,89800,2151,47.815,3.79833,140,258
Champigny,89340,2127,48.31805,3.1275,80,259
Champs-sur-Yonne,89290,1534,47.73778,3.59944,105,260
Charbuy,89113,1870,47.82278,3.46583,160,261
Charny-Orée-de-Puisaye,89120,4854,47.88611,3.09556,135,262
Cheny,89400,2231,47.95278,3.53556,90,263
Chéroy,89690,1763,48.20167,2.99944,150,264
Chevannes,89240,2145,47.75195,3.49444,170,265
Gurgy,89250,1724,47.86611,3.56222,90,266
Héry,89550,1789,47.90167,3.62667,110,267
Joigny,89300,9055,47.98306,3.3975,100,268
Malay-le-Grand,89100,1635,48.175,3.34222,80,269
Migennes,89400,6878,47.96611,3.51333,100,270
Monéteau,89470,4113,47.84972,3.57861,95,271
Montholon,89110,2730,47.87472,3.35111,120,272
Paron,89100,4855,48.17778,3.25028,80,273
Pont-sur-Yonne,89140,3357,48.2875,3.20861,80,274
Saint-Clément,89100,2813,48.21667,3.28806,70,275
Saint-Florentin,89600,4230,48.00111,3.72694,120,276
Saint-Georges-sur-Baulche,89000,3176,47.80611,3.53389,160,277
Saint-Julien-du-Sault,89330,2202,48.03028,3.29583,90,278
Saint-Martin-du-Tertre,89100,1553,48.21333,3.26,80,279
Saint-Valérien,89150,1806,48.17861,3.09528,165,280
Sens,89100,27275,48.19722,3.28583,70,281
Soucy,89100,1546,48.24944,3.32472,100,282
Tonnerre,89700,4268,47.85444,3.97583,150,283
Toucy,89130,2562,47.735,3.29444,190,284
Valravillon,89113,1777,47.89222,3.43972,112,285
Venoy,89290,1747,47.80639,3.63861,210,286
Vergigny,89600,1501,47.97111,3.71833,100,287
Véron,89510,1853,48.12861,3.30889,79,288
Villeblevin,89340,1813,48.32333,3.08333,80,289
Villeneuve-la-Guyard,89340,3470,48.34,3.06472,70,290
Villeneuve-sur-Yonne,89500,5130,48.08028,3.29778,80,291
Vinneuf,89140,1559,48.34972,3.13639,90,292
Bavilliers,90800,4641,47.61972,6.83222,356,293
Beaucourt,90500,4985,47.48972,6.92806,440,294
Belfort [3],90000,45646,47.64222,6.85583,361,295
Bourogne,90140,1737,47.56222,6.91972,343,296
Châtenois-les-Forges,90700,2637,47.55861,6.85,340,297
Chèvremont,90340,1566,47.62833,6.92389,350,298
Cravanche,90300,1935,47.65306,6.83028,389,299
Danjoutin,90400,3531,47.61611,6.86444,356,300
Delle,90100,5677,47.50833,6.99778,380,301
Essert,90850,3382,47.63389,6.81556,360,302
Évette-Salbert,90350,2022,47.67722,6.80083,400,303
Giromagny,90200,2897,47.74667,6.82139,488,304
Grandvillars,90600,2963,47.53917,6.97611,354,305
Offemont,90300,4054,47.66444,6.87889,370,306
Valdoie,90300,5193,47.66722,6.8425,375,307
