Nom,Insee,cp,arr,Canton,epci,pop,long,lat,alti,surf
Rouvres-en-Plaine,21532,21110,2,Genlis,CC de la Plaine Dijonnaise,1254,47.23667,5.14306,206,14.61
Ruffey-lès-Echirey,21535,21490,2,Fontaine-lès-Dijon,CC Norge et Tille,1404,47.36778,5.08083,240,11.23
Saint-Apollinaire,21540,21850,2,Saint-Apollinaire,Dijon Métropole,7517,47.33389,5.08333,250,10.21
Saint-Jean-de-Losne,21554,21170,1,Brazey-en-Plaine,CC Rives de Saône,1001,47.10361,5.26722,180,0.60
Saint-Julien,21555,21490,2,Fontaine-lès-Dijon,CC Norge et Tille,1749,47.40194,5.14250,235,16.86
Saint-Usage,21577,21170,1,Brazey-en-Plaine,CC Rives de Saône,1330,47.10972,5.26167,185,9.47
Saulieu,21584,21210,3,Semur-en-Auxois,CC de Saulieu,2269,47.28250,4.23139,540,32.57
Saulon-la-Chapelle,21585,21910,1,Nuits-Saint-Georges,CC de Gevrey-Chambertin et de Nuits-Saint-Georges,1030,47.21611,5.08861,208,9.99
Savigny-lès-Beaune,21590,21420,1,Ladoix-Serrigny,CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay,1300,47.06222,4.81889,268,36.25
Selongey,21599,21260,2,Is-sur-Tille,CC Tille et Venelle,2394,47.58861,5.18472,300,46.84
Semur-en-Auxois,21603,21140,3,Semur-en-Auxois,CC des Terres d'Auxois,4027,47.49306,4.33139,280,19.08
Sennecey-lès-Dijon,21605,21800,2,Chevigny-Saint-Sauveur,Dijon Métropole,2125,47.29222,5.10167,225,3.49
Seurre,21607,21250,1,Brazey-en-Plaine,CC Rives de Saône,2336,46.99556,5.14639,180,8.99
Talant,21617,21240,2,Talant,Dijon Métropole,11986,47.33583,5.00361,360,5.11
Tart,21623,21110,2,Genlis,CC de la Plaine Dijonnaise,1533,47.20472,5.20611,231,10.35
Thorey-en-Plaine,21632,21110,2,Genlis,CC de la Plaine Dijonnaise,1134,47.21583,5.13389,204,5.80
Til-Châtel,21638,21120,2,Is-sur-Tille,CC des Vallées de la Tille et de l'Ignon,1136,47.51833,5.17611,280,26.19
Varois-et-Chaignot,21657,21490,2,Saint-Apollinaire,CC Norge et Tille,2068,47.34945,5.12667,230,10.03
Velars-sur-Ouche,21661,21370,2,Talant,CC Ouche et Montagne,1829,47.32028,4.90250,290,12.17
Venarey-les-Laumes,21663,21150,3,Montbard,CC du Pays d'Alésia et de la Seine,2758,47.54333,4.45778,240,10.37
Villers-les-Pots,21699,21130,2,Auxonne,CC Auxonne Pontailler Val de Saône,1206,47.21139,5.35500,200,10.48
Vitteaux,21710,21350,3,Semur-en-Auxois,CC des Terres d'Auxois,1056,47.39750,4.54139,323,20.92
Abbévillers,25004,25310,2,Maîche,CA Pays de Montbéliard Agglomération,1099,47.43167,6.91944,560,11.19
Arc-et-Senans,25021,25610,1,Saint-Vit,CC Loue-Lison,1621,47.03667,5.78833,243,14.91
Arcey,25022,25750,2,Bavans,CC des Deux Vallées Vertes,1491,47.52056,6.65750,374,12.52
Audincourt,25031,25400,2,Audincourt,CA Pays de Montbéliard Agglomération,14009,47.47778,6.84139,322,8.74
Avanne-Aveney,25036,25720,1,Besançon-1,CU Grand Besançon Métropole,2237,47.20167,5.96583,250,8.59
Bart,25043,25420,2,Montbéliard,CA Pays de Montbéliard Agglomération,2015,47.49306,6.77056,314,3.81
Baume-les-Dames,25047,25110,1,Baume-les-Dames,CC du Doubs Baumois,5064,47.35444,6.36056,280,25.01
Bavans,25048,25550,2,Bavans,CA Pays de Montbéliard Agglomération,3566,47.48306,6.72944,330,8.90
Besançon [4],25056,25000,1,Besançon,CU Grand Besançon Métropole,120057,47.24528,6.02583,261,65.21
