Nom,Insee,cp,arr,Canton,epci,pop,long,lat,alti,surf
Cosne-Cours-sur-Loire,58086,58200,4,Cosne-Cours-sur-Loire,CC Coeur de Loire,9786,47.40917,2.92333,150,53.78
Coulanges-lès-Nevers,58088,58660,3,Nevers-1,CA de Nevers,3678,47.00555,3.18917,192,10.61
Decize,58095,58300,3,Decize,CC Sud Nivernais,5025,46.82778,3.45361,193,48.25
Donzy,58102,58220,4,Pouilly-sur-Loire,CC Coeur de Loire,1542,47.37083,3.12444,182,63.44
Dornes,58104,58390,3,Saint-Pierre-le-Moûtier,CA Moulins Communauté,1458,46.71556,3.35389,220,40.11
Fourchambault,58117,58600,3,Fourchambault,CA de Nevers,4019,47.02139,3.08306,173,4.45
Garchizy,58121,58600,3,Fourchambault,CA de Nevers,3666,47.04694,3.09611,210,16.48
Guérigny,58131,58130,3,Guérigny,CC Les Bertranges,2512,47.09028,3.19778,210,7.47
Imphy,58134,58160,3,Imphy,CC Sud Nivernais,3175,46.92861,3.26500,200,16.65
Lormes,58145,58140,1,Corbigny,CC Morvan Sommets et Grands Lacs,1259,47.29028,3.81833,430,51.86
Luzy,58149,58170,1,Luzy,CC Bazois Loire Morvan,1983,46.78889,3.97139,227,41.73
la Machine,58151,58260,3,Imphy,CC Sud Nivernais,3213,46.89056,3.46667,260,18.13
Magny-Cours,58152,58470,3,Nevers-2,CC Loire et Allier,1417,46.88417,3.15139,209,32.16
Marzy,58160,58180,3,Fourchambault,CA de Nevers,3650,46.98056,3.08944,190,21.55
Moulins-Engilbert,58182,58290,1,Luzy,CC Bazois Loire Morvan,1354,46.98778,3.81167,224,41.41
Neuvy-sur-Loire,58193,58450,4,Pouilly-sur-Loire,CC Coeur de Loire,1428,47.52222,2.88389,140,20.81
Nevers [3],58194,58000,3,Nevers,CA de Nevers,33172,46.99445,3.15556,201,17.45
Pougues-les-Eaux,58214,58320,3,Varennes-Vauzelles,CA de Nevers,2388,47.07417,3.10278,202,13.09
Pouilly-sur-Loire,58215,58150,4,Pouilly-sur-Loire,CC Coeur de Loire,1623,47.28305,2.95861,160,19.92
Prémery,58218,58700,4,La Charité-sur-Loire,CC Les Bertranges,1782,47.17222,3.33083,240,45.76
Saint-Amand-en-Puisaye,58227,58310,4,Pouilly-sur-Loire,CC de Puisaye-Forterre,1211,47.52806,3.07444,180,41.58
Saint-Benin-d'Azy,58232,58270,3,Guérigny,CC Amognes Coeur du Nivernais,1257,46.99750,3.39333,250,36.24
Saint-Éloi,58238,58000,3,Nevers-2,CC Loire et Allier,2220,46.97306,3.22333,190,16.43
Saint-Léger-des-Vignes,58250,58300,3,Decize,CC Sud Nivernais,1669,46.84306,3.45472,210,9.15
Saint-Parize-le-Châtel,58260,58490,3,Saint-Pierre-le-Moûtier,CC Loire et Allier,1216,46.85444,3.18278,231,49.73
Saint-Père,58261,58200,4,Cosne-Cours-sur-Loire,CC Coeur de Loire,1047,47.41167,2.96250,161,17.29
Saint-Pierre-le-Moûtier,58264,58240,3,Saint-Pierre-le-Moûtier,CC du Nivernais Bourbonnais,1828,46.79389,3.11861,232,47.84
Sauvigny-les-Bois,58273,58160,3,Imphy,CC Loire et Allier,1413,46.96528,3.27500,210,29.78
Sermoise-sur-Loire,58278,58000,3,Nevers-2,CA de Nevers,1490,46.95083,3.18611,193,25.12
Urzy,58300,58130,3,Guérigny,CC Les Bertranges,1735,47.04778,3.20417,190,23.88
Varennes-Vauzelles,58303,58640,3,Varennes-Vauzelles,CA de Nevers,9166,47.01250,3.13917,199,33.95
Varzy,58304,58210,2,Clamecy,CC Haut Nivernais-Val d'Yonne,1066,47.35889,3.38833,225,41.42
Aillevillers-et-Lyaumont,70006,70320,1,Saint-Loup-sur-Semouse,CC de la Haute Comté,1440,47.91972,6.33278,290,36.78
Arc-lès-Gray,70026,70100,2,Gray,CC Val de Gray,2410,47.45861,5.58028,200,12.16
Châlonvillars,70117,70400,1,Héricourt-1,CC du Pays d'Héricourt,1253,47.64000,6.78444,380,7.67
Champagney,70120,70290,1,Héricourt-1,CC Rahin et Chérimont,3674,47.70583,6.68306,369,37.20
Champlitte,70122,70600,2,Dampierre-sur-Salon,CC des Quatre Rivières,1601,47.61667,5.51056,220,129.52
Corbenay,70171,70320,1,Saint-Loup-sur-Semouse,CC de la Haute Comté,1249,47.89056,6.32833,265,15.97
Dampierre-sur-Salon,70198,70180,2,Dampierre-sur-Salon,CC des Quatre Rivières,1248,47.55778,5.68139,203,18.93
Échenoz-la-Méline,70207,70000,2,Vesoul-1,CA de Vesoul,3187,47.60250,6.13694,250,8.19
Fontaine-lès-Luxeuil,70240,70800,1,Saint-Loup-sur-Semouse,CC de la Haute Comté,1329,47.85833,6.33444,260,27.94
Fougerolles-Saint-Valbert,70245,70220,1,Fougerolles-Saint-Valbert,CC de la Haute Comté,3777,47.88639,6.40611,310,51.49
Frahier-et-Chatebier,70248,70400,1,Héricourt-1,CC Rahin et Chérimont,1377,47.65889,6.74833,370,17.48
Froideconche,70258,70300,1,Luxeuil-les-Bains,CC du Pays de Luxeuil,1974,47.81944,6.41472,300,16.13
Frotey-lès-Vesoul,70261,70000,2,Vesoul-2,CA de Vesoul,1367,47.62250,6.18389,240,7.81
Gray,70279,70100,2,Gray,CC Val de Gray,5455,47.44639,5.59083,200,20.11
Gy,70282,70700,2,Marnay,CC des Monts de Gy,1030,47.40611,5.81250,240,24.92
Héricourt,70285,70400,1,Héricourt,CC du Pays d'Héricourt,10525,47.57417,6.75694,350,18.06
Jussey,70292,70500,2,Jussey,CC des Hauts du Val de Saône,1550,47.82583,5.90139,215,33.71
Lure,70310,70200,1,Lure,CC du Pays de Lure,7912,47.68250,6.49806,295,24.66
Luxeuil-les-Bains,70311,70300,1,Luxeuil-les-Bains,CC du Pays de Luxeuil,6674,47.81750,6.38139,290,22.13
Magny-Vernois,70321,70200,1,Lure-2,CC du Pays de Lure,1361,47.67083,6.47417,290,6.50
Marnay,70334,70150,2,Marnay,CC du Val Marnaysien,1527,47.28944,5.77167,220,10.41
Mélisey,70339,70270,1,Mélisey,CC des 1000 étangs,1643,47.75361,6.58194,328,21.22
Navenne,70378,70000,2,Vesoul-2,CA de Vesoul,1591,47.60778,6.16361,280,4.00
Noidans-lès-Vesoul,70388,70000,2,Vesoul-1,CA de Vesoul,1979,47.61444,6.12389,229,8.57
Pesmes,70408,70140,2,Marnay,CC Val de Gray,1082,47.27889,5.56389,210,18.91
Plancher-Bas,70413,70290,1,Héricourt-1,CC Rahin et Chérimont,1855,47.72111,6.73139,428,29.13
Port-sur-Saône,70421,70170,2,Port-sur-Saône,CC Terres de Saône,2966,47.68889,6.04667,220,24.63
Pusey,70428,70000,2,Vesoul-1,CA de Vesoul,1437,47.65389,6.12528,230,8.20
Quincey,70433,70000,2,Vesoul-2,CA de Vesoul,1359,47.61056,6.18500,250,13.01
Rioz,70447,70190,2,Rioz,CC du Pays Riolais,2432,47.42528,6.07028,270,17.27
Ronchamp,70451,70250,1,Lure-1,CC Rahin et Chérimont,2745,47.69944,6.63639,350,23.42
Roye,70455,70200,1,Lure-2,CC du Pays de Lure,1486,47.66945,6.54194,300,10.46
Saint-Barthélemy,70459,70270,1,Mélisey,CC des 1000 étangs,1091,47.75000,6.58778,330,13.83
Saint-Germain,70464,70200,1,Lure-1,CC du Pays de Lure,1369,47.71667,6.52333,317,14.26
Saint-Loup-sur-Semouse,70467,70800,1,Saint-Loup-sur-Semouse,CC de la Haute Comté,2842,47.88639,6.27306,250,16.85
Saint-Sauveur,70473,70300,1,Luxeuil-les-Bains,CC du Pays de Luxeuil,1929,47.80333,6.38361,283,12.14
Scey-sur-Saône-et-Saint-Albin,70482,70360,2,Scey-sur-Saône-et-Saint-Albin,CC des Combes,1528,47.66583,5.97194,210,28.55
Vaivre-et-Montoille,70513,70000,2,Vesoul-1,CA de Vesoul,2436,47.63083,6.10417,220,8.50
Vesoul [3],70550,70000,2,Vesoul,CA de Vesoul,15306,47.62083,6.15806,220,9.10
Villersexel,70561,70110,1,Villersexel,CC du Pays de Villersexel,1425,47.55139,6.43444,280,13.30
l'Abergement-Sainte-Colombe,71002,71370,2,Ouroux-sur-Saône,CC Terres de Bresse,1235,46.75361,5.00750,196,19.57
Allériot,71004,71380,2,Ouroux-sur-Saône,CC Saône Doubs Bresse,1162,46.81472,4.94611,190,13.53
Autun,71014,71400,1,Autun,CC du Grand Autunois Morvan,13144,46.95194,4.30222,312,61.62
Azé,71016,71260,5,Hurigny,CA Mâconnais Beaujolais Agglomération,1082,46.43000,4.76139,240,15.23
Baudrières,71023,71370,2,Ouroux-sur-Saône,CC Terres de Bresse,1007,46.67417,5.01194,197,27.16
Blanzy,71040,71450,1,Blanzy,CU Le Creusot Montceau-les-Mines,5983,46.70278,4.38472,301,40.23
Bourbon-Lancy,71047,71140,3,Digoin,CC Entre Arroux, Loire et Somme,4656,46.62222,3.77417,250,55.93
Branges,71056,71500,4,Louhans,CC Bresse Louhannaise Intercom',2372,46.64139,5.18000,185,24.75
le Breuil,71059,71670,1,Le Creusot-2,CU Le Creusot Montceau-les-Mines,3508,46.79528,4.48417,330,28.88
Buxy,71070,71390,2,Givry,CC Sud Côte Chalonnaise,2155,46.71250,4.69444,250,11.95
Chagny,71073,71150,2,Chagny,CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay,5402,46.90972,4.75472,210,18.94
Chalon-sur-Saône,71076,71100,2,Chalon-sur-Saône,CA Le Grand Chalon,44592,46.78611,4.84972,178,15.35
Champforgeuil,71081,71530,2,Chalon-sur-Saône-1,CA Le Grand Chalon,2616,46.82000,4.83583,185,7.17
la Chapelle-de-Guinchay,71090,71570,5,La Chapelle-de-Guinchay,CA Mâconnais Beaujolais Agglomération,4038,46.21028,4.75500,200,12.65
Charnay-lès-Mâcon,71105,71850,5,Mâcon-1,CA Mâconnais Beaujolais Agglomération,8154,46.30944,4.78611,272,12.32
Charolles,71106,71120,3,Charolles,CC Le Grand Charolais,2789,46.43472,4.27556,290,20.02
Châtenoy-en-Bresse,71117,71380,2,Ouroux-sur-Saône,CA Le Grand Chalon,1098,46.79222,4.91361,191,6.66
Châtenoy-le-Royal,71118,71880,2,Chalon-sur-Saône-3,CA Le Grand Chalon,6205,46.79083,4.81194,200,12.42
Chaudenay,71119,71150,2,Chagny,CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay,1124,46.91389,4.79389,205,8.16
Chauffailles,71120,71170,3,Chauffailles,CC Brionnais Sud Bourgogne,3656,46.20667,4.34000,386,22.78
Ciry-le-Noble,71132,71420,3,Saint-Vallier,CU Le Creusot Montceau-les-Mines,2213,46.60583,4.29889,280,33.04
la Clayette,71133,71800,3,Chauffailles,CC Brionnais Sud Bourgogne,1596,46.29000,4.30750,400,3.14
Cluny,71137,71250,5,Cluny,CC du Clunisois,4980,46.43306,4.65944,250,24.02
Couches,71149,71490,1,Chagny,CC du Grand Autunois Morvan,1211,46.86945,4.57278,320,20.69
Crêches-sur-Saône,71150,71680,5,La Chapelle-de-Guinchay,CA Mâconnais Beaujolais Agglomération,3179,46.24417,4.78778,188,9.40
le Creusot,71153,71200,1,Le Creusot,CU Le Creusot Montceau-les-Mines,20536,46.79722,4.42528,354,18.15
Crissey,71154,71530,2,Chalon-sur-Saône-1,CA Le Grand Chalon,2473,46.81750,4.88306,185,11.21
Cuiseaux,71157,71480,4,Cuiseaux,CC Bresse Louhannaise Intercom',1853,46.49389,5.38722,276,21.31
Cuisery,71158,71290,4,Cuiseaux,CC Terres de Bresse,1580,46.55722,4.99806,200,11.46
Curgy,71162,71400,1,Autun-1,CC du Grand Autunois Morvan,1100,46.98444,4.38472,350,31.70
Demigny,71170,71150,2,Gergy,CA Le Grand Chalon,1769,46.92694,4.83583,200,29.68
Digoin,71176,71160,3,Digoin,CC Le Grand Charolais,7380,46.48472,3.98417,230,35.17
Dracy-le-Fort,71182,71640,2,Givry,CA Le Grand Chalon,1471,46.79833,4.76250,212,6.36
Écuisses,71187,71210,2,Blanzy,CU Le Creusot Montceau-les-Mines,1624,46.75611,4.53833,350,13.43
Épervans,71189,71380,2,Saint-Rémy,CA Le Grand Chalon,1642,46.75389,4.89917,187,12.58
Épinac,71190,71360,1,Autun-1,CC du Grand Autunois Morvan,2150,46.99194,4.51139,350,25.96
Étang-sur-Arroux,71192,71190,1,Autun-2,CC du Grand Autunois Morvan,1788,46.86694,4.18528,275,34.67
Fontaines,71202,71150,2,Chagny,CA Le Grand Chalon,1845,46.85000,4.77333,195,24.96
Fragnes-la-Loyère,71204,71530,2,Chalon-sur-Saône-1,CA Le Grand Chalon,1434,46.83472,4.84583,185,3.96
Génelard,71212,71420,3,Saint-Vallier,CU Le Creusot Montceau-les-Mines,1407,46.58111,4.23333,267,22.36
Gergy,71215,71590,2,Gergy,CA Le Grand Chalon,2569,46.87528,4.94750,182,39.25
Givry,71221,71640,2,Givry,CA Le Grand Chalon,3623,46.78278,4.74361,220,26.28
Gueugnon,71230,71130,3,Gueugnon,CC Entre Arroux, Loire et Somme,6547,46.60306,4.05778,244,28.63
Hurigny,71235,71870,5,Hurigny,CA Mâconnais Beaujolais Agglomération,1908,46.34806,4.79639,300,9.19
Iguerande,71238,71340,3,Chauffailles,CC de Semur en Brionnais,1001,46.20778,4.07722,271,21.45
Laizé,71250,71870,5,Hurigny,CA Mâconnais Beaujolais Agglomération,1135,46.39417,4.80583,220,10.60
Louhans,71263,71500,4,Louhans,CC Bresse Louhannaise Intercom',6483,46.62722,5.22389,180,22.76
Lux,71269,71100,2,Saint-Rémy,CA Le Grand Chalon,1902,46.75361,4.85583,186,6.18
Mâcon [3],71270,71000,5,Mâcon,CA Mâconnais Beaujolais Agglomération,34759,46.30833,4.83139,190,27.16
Marcigny,71275,71110,3,Paray-le-Monial,CC de Marcigny,1711,46.27444,4.03972,260,8.11
Marmagne,71282,71710,1,Autun-2,CU Le Creusot Montceau-les-Mines,1276,46.83667,4.36083,320,31.15
Matour,71289,71520,5,La Chapelle-de-Guinchay,CC Saint Cyr Mère Boitier entre Charolais et Mâconnais,1159,46.30583,4.48278,430,28.09
Mellecey,71292,71640,2,Givry,CA Le Grand Chalon,1311,46.81083,4.72972,210,14.18
Mercurey,71294,71640,2,Givry,CA Le Grand Chalon,1217,46.83917,4.72139,260,15.56
Mervans,71295,71310,4,Pierre-de-Bresse,CC Bresse Revermont 71,1488,46.79972,5.18833,185,27.27
Montceau-les-Mines,71306,71300,2,Montceau-les-Mines,CU Le Creusot Montceau-les-Mines,16946,46.68167,4.36472,318,16.94
Montcenis,71309,71710,1,Le Creusot-1,CU Le Creusot Montceau-les-Mines,1864,46.78861,4.38778,400,12.39
Montchanin,71310,71210,2,Blanzy,CU Le Creusot Montceau-les-Mines,4982,46.74778,4.46861,330,8.12
Montpont-en-Bresse,71318,71470,4,Cuiseaux,CC Terres de Bresse,1087,46.55556,5.16444,190,38.04
la Motte-Saint-Jean,71325,71160,3,Digoin,CC Le Grand Charolais,1186,46.49722,3.96333,290,21.54
Oslon,71333,71380,2,Ouroux-sur-Saône,CA Le Grand Chalon,1221,46.78361,4.92111,188,4.83
Ouroux-sur-Saône,71336,71370,2,Ouroux-sur-Saône,CC Terres de Bresse,3183,46.72055,4.95222,190,22.73
Palinges,71340,71430,3,Charolles,CC Le Grand Charolais,1413,46.55305,4.21972,274,36.71
Paray-le-Monial,71342,71600,3,Paray-le-Monial,CC Le Grand Charolais,9256,46.45250,4.12056,244,25.31
Perrecy-les-Forges,71346,71420,3,Saint-Vallier,CU Le Creusot Montceau-les-Mines,1546,46.61333,4.21639,289,33.77
Pierre-de-Bresse,71351,71270,4,Pierre-de-Bresse,CC Bresse Nord Intercom',1945,46.88250,5.25833,197,28.25
Prissé,71360,71960,5,Hurigny,CA Mâconnais Beaujolais Agglomération,1865,46.32056,4.74472,210,10.86
la Roche-Vineuse,71371,71960,5,Hurigny,CA Mâconnais Beaujolais Agglomération,1571,46.34333,4.72778,300,12.06
Romanèche-Thorins,71372,71570,5,La Chapelle-de-Guinchay,CA Mâconnais Beaujolais Agglomération,2002,46.19083,4.73667,200,9.79
Romenay,71373,71470,5,Cuiseaux,CC Terres de Bresse,1740,46.50139,5.06639,210,49.09
Rully,71378,71150,2,Chagny,CA Le Grand Chalon,1581,46.87333,4.74167,240,15.75
Sagy,71379,71580,4,Louhans,CC Bresse Louhannaise Intercom',1250,46.60028,5.31028,201,34.37
Saint-Berain-sous-Sanvignes,71390,71300,1,Montceau-les-Mines,CU Le Creusot Montceau-les-Mines,1106,46.70694,4.29500,320,45.27
Saint-Christophe-en-Bresse,71398,71370,2,Ouroux-sur-Saône,CC Terres de Bresse,1054,46.75278,4.98778,190,20.54
Saint-Eusèbe,71412,71210,2,Blanzy,CU Le Creusot Montceau-les-Mines,1175,46.71278,4.46278,340,21.41
Saint-Gengoux-le-National,71417,71460,5,Cluny,CC Sud Côte Chalonnaise,1047,46.61194,4.66167,248,9.36
Saint-Germain-du-Bois,71419,71330,4,Pierre-de-Bresse,CC Bresse Revermont 71,1947,46.75195,5.24306,210,30.43
Saint-Germain-du-Plain,71420,71370,2,Ouroux-sur-Saône,CC Terres de Bresse,2346,46.70278,4.98167,190,19.59
Saint-Léger-sur-Dheune,71442,71510,2,Chagny,CA Le Grand Chalon,1554,46.84500,4.63694,240,12.24
Saint-Loup-de-Varennes,71444,71240,2,Saint-Rémy,CA Le Grand Chalon,1249,46.72611,4.86361,189,8.35
Saint-Loup-Géanges,71443,71350,2,Gergy,CA Le Grand Chalon,1643,46.94639,4.90944,185,19.47
Saint-Marcel,71445,71380,2,Saint-Rémy,CA Le Grand Chalon,6211,46.77555,4.89611,177,10.15
Saint-Martin-Belle-Roche,71448,71118,5,Hurigny,CA Mâconnais Beaujolais Agglomération,1388,46.38194,4.85639,210,4.52
Saint-Martin-en-Bresse,71456,71620,2,Ouroux-sur-Saône,CC Saône Doubs Bresse,1902,46.81722,5.06083,185,34.97
Saint-Rémy,71475,71100,2,Saint-Rémy,CA Le Grand Chalon,6476,46.76972,4.83639,180,10.26
Saint-Sernin-du-Bois,71479,71200,1,Le Creusot-2,CU Le Creusot Montceau-les-Mines,1729,46.84083,4.43361,447,14.82
Saint-Symphorien-d'Ancelles,71481,71570,5,La Chapelle-de-Guinchay,CA Mâconnais Beaujolais Agglomération,1128,46.19778,4.76972,189,6.38
Saint-Usuge,71484,71500,4,Louhans,CC Bresse Louhannaise Intercom',1221,46.67667,5.25083,200,32.12
Saint-Vallier,71486,71230,2,Saint-Vallier,CU Le Creusot Montceau-les-Mines,8508,46.64222,4.36889,330,24.17
Saint-Yan,71491,71600,3,Paray-le-Monial,CC Le Grand Charolais,1132,46.41056,4.03806,240,26.27
Sancé,71497,71000,5,Mâcon-1,CA Mâconnais Beaujolais Agglomération,2158,46.34111,4.83167,200,6.58
Sanvignes-les-Mines,71499,71410,3,Saint-Vallier,CU Le Creusot Montceau-les-Mines,4265,46.66722,4.29222,350,35.68
Sassenay,71502,71530,2,Gergy,CA Le Grand Chalon,1601,46.83083,4.92389,180,19.10
Savigny-en-Revermont,71506,71580,4,Pierre-de-Bresse,CC Bresse Revermont 71,1141,46.63445,5.41944,216,27.56
Sennecey-le-Grand,71512,71240,2,Tournus,CC Entre Saône et Grosne,2911,46.63917,4.87028,210,26.71
Senozan,71513,71260,5,Hurigny,CA Mâconnais Beaujolais Agglomération,1132,46.39778,4.86222,205,4.89
Sevrey,71520,71100,2,Saint-Rémy,CA Le Grand Chalon,1208,46.73778,4.84139,195,8.59
Simandre,71522,71290,4,Cuiseaux,CC Terres de Bresse,1744,46.62250,4.98750,200,22.94
Simard,71523,71330,4,Louhans,CC Bresse Louhannaise Intercom',1175,46.72000,5.18028,205,22.23
Sornay,71528,71500,4,Louhans,CC Bresse Louhannaise Intercom',1958,46.62972,5.18222,179,18.09
Torcy,71540,71210,1,Le Creusot-1,CU Le Creusot Montceau-les-Mines,2805,46.77056,4.45583,310,19.76
Toulon-sur-Arroux,71542,71320,3,Gueugnon,CC Entre Arroux, Loire et Somme,1447,46.69361,4.14028,260,43.72
Tournus,71543,71700,5,Tournus,CC Mâconnais - Tournugeois,5702,46.56083,4.91111,180,24.63
Tramayes,71545,71520,5,La Chapelle-de-Guinchay,CC Saint Cyr Mère Boitier entre Charolais et Mâconnais,1067,46.30806,4.59972,480,18.66
Varennes-le-Grand,71555,71240,2,Saint-Rémy,CA Le Grand Chalon,2287,46.71111,4.87778,187,19.25
Varennes-Saint-Sauveur,71558,71480,4,Cuiseaux,CC Bresse Louhannaise Intercom',1116,46.48111,5.24389,208,30.53
Verdun-Ciel,71566,71350,2,Gergy,CC Saône Doubs Bresse,1838,46.89500,5.02417,176,7.50
Viré,71584,71260,5,Hurigny,CC Mâconnais - Tournugeois,1218,46.44833,4.84417,230,11.36
Virey-le-Grand,71585,71530,2,Chalon-sur-Saône-1,CA Le Grand Chalon,1393,46.84333,4.86639,188,12.76
Vitry-en-Charollais,71588,71600,3,Paray-le-Monial,CC Le Grand Charolais,1082,46.45417,4.05972,260,21.35
Appoigny,89013,89380,1,Auxerre-2,CA de l'Auxerrois,3133,47.87667,3.52556,96,22.39
Auxerre [3],89024,89000,1,Auxerre,CA de l'Auxerrois,35236,47.79833,3.57139,120,49.87
Avallon,89025,89200,2,Avallon,CC Avallon, Vézelay, Morvan,6346,47.48889,3.91028,220,26.66
Bléneau,89046,89220,1,Cœur de Puisaye,CC de Puisaye-Forterre,1146,47.69861,2.94917,160,39.40
Brienon-sur-Armançon,89055,89210,1,Brienon-sur-Armançon,CC Serein et Armance,3060,47.99278,3.61722,100,31.23
Cerisiers,89066,89320,3,Brienon-sur-Armançon,CC de la Vanne et du Pays d'Othe,1002,48.13055,3.48750,150,26.06
Cézy,89067,89410,3,Joigny,CC du Jovinien,1081,47.99222,3.34139,76,16.29
Chablis,89068,89800,1,Chablis,CC Chablis Villages et Terroirs,2151,47.81500,3.79833,140,38.75
Champigny,89074,89340,3,Pont-sur-Yonne,CC Yonne Nord,2127,48.31805,3.12750,80,21.26
Champs-sur-Yonne,89077,89290,1,Auxerre-3,CA de l'Auxerrois,1534,47.73778,3.59944,105,4.39
Charbuy,89083,89113,1,Auxerre-2,CA de l'Auxerrois,1870,47.82278,3.46583,160,23.53
Charmoy,89085,89400,1,Migennes,CC de l'Agglomération Migennoise,1108,47.94167,3.49111,100,6.99
Charny-Orée-de-Puisaye,89086,89120,1,Charny Orée de Puisaye,CC de Puisaye-Forterre,4854,47.88611,3.09556,135,18.78
Cheny,89099,89400,1,Migennes,CC de l'Agglomération Migennoise,2231,47.95278,3.53556,90,9.73
Chéroy,89100,89690,3,Gâtinais en Bourgogne,CC du Gâtinais en Bourgogne,1763,48.20167,2.99944,150,10.50
Chevannes,89102,89240,1,Auxerre-4,CA de l'Auxerrois,2145,47.75195,3.49444,170,24.28
Courlon-sur-Yonne,89124,89140,3,Thorigny-sur-Oreuse,CC Yonne Nord,1191,48.33778,3.16583,70,16.85
Deux Rivières,89130,89460,1,Joux-la-Ville,CC Chablis Villages et Terroirs,1272,47.68306,3.69306,120,22.45
Diges,89139,89240,1,Cœur de Puisaye,CC de Puisaye-Forterre,1059,47.72806,3.39806,220,35.95
Égriselles-le-Bocage,89151,89500,3,Gâtinais en Bourgogne,CC du Gâtinais en Bourgogne,1387,48.11917,3.18139,180,23.61
Fleury-la-Vallée,89167,89113,1,Charny Orée de Puisaye,CC de l'Aillantais en Bourgogne,1019,47.86750,3.44917,140,15.19
Gron,89195,89100,3,Sens-2,CA du Grand Sénonais,1260,48.16028,3.26333,90,11.78
Gurgy,89198,89250,1,Auxerre-2,CA de l'Auxerrois,1724,47.86611,3.56222,90,13.15
Héry,89201,89550,1,Saint-Florentin,CC Serein et Armance,1789,47.90167,3.62667,110,21.36
Joigny,89206,89300,3,Joigny,CC du Jovinien,9055,47.98306,3.39750,100,47.30
Joux-la-Ville,89208,89440,2,Joux-la-Ville,CC du Serein,1164,47.62278,3.86222,230,43.79
Laroche-Saint-Cydroine,89218,89400,1,Migennes,CC de l'Agglomération Migennoise,1209,47.96556,3.48500,90,9.02
Ligny-le-Châtel,89227,89144,1,Chablis,CC Chablis Villages et Terroirs,1211,47.90028,3.75806,130,27.47
Lindry,89228,89240,1,Auxerre-1,CA de l'Auxerrois,1334,47.80056,3.41889,190,15.15
Maillot,89236,89100,3,Sens-2,CA du Grand Sénonais,1271,48.17583,3.30806,80,6.18
Malay-le-Grand,89239,89100,3,Sens-2,CA du Grand Sénonais,1635,48.17500,3.34222,80,22.18
Michery,89255,89140,3,Thorigny-sur-Oreuse,CC Yonne Nord,1080,48.31000,3.23639,80,17.13
Migennes,89257,89400,1,Migennes,CC de l'Agglomération Migennoise,6878,47.96611,3.51333,100,16.65
Monéteau,89263,89470,1,Auxerre-2,CA de l'Auxerrois,4113,47.84972,3.57861,95,18.59
Montholon,89003,89110,1,Charny Orée de Puisaye,CC de l'Aillantais en Bourgogne,2730,47.87472,3.35111,120,18.25
Nailly,89274,89100,3,Gâtinais en Bourgogne,CC du Gâtinais en Bourgogne,1329,48.22333,3.22194,100,21.60
Paron,89287,89100,3,Sens-2,CA du Grand Sénonais,4855,48.17778,3.25028,80,10.56
Perrigny,89295,89000,1,Auxerre-2,CA de l'Auxerrois,1254,47.81972,3.53639,130,12.86
Pont-sur-Yonne,89309,89140,3,Pont-sur-Yonne,CC Yonne Nord,3357,48.28750,3.20861,80,13.98
Pourrain,89311,89240,1,Cœur de Puisaye,CC de Puisaye-Forterre,1284,47.75639,3.41222,265,24.04
Rosoy,89326,89100,3,Sens-2,CA du Grand Sénonais,1077,48.15223,3.30946,0,0.00
Saint-Bris-le-Vineux,89337,89530,1,Auxerre-3,CA de l'Auxerrois,1024,47.74306,3.65306,170,31.32
Saint-Clément,89338,89100,3,Sens-1,CA du Grand Sénonais,2813,48.21667,3.28806,70,8.48
Saint-Fargeau,89344,89170,1,Cœur de Puisaye,CC de Puisaye-Forterre,1466,47.64083,3.07056,200,51.10
Saint-Florentin,89345,89600,1,Saint-Florentin,CC Serein et Armance,4230,48.00111,3.72694,120,28.43
Saint-Georges-sur-Baulche,89346,89000,1,Auxerre-1,CA de l'Auxerrois,3176,47.80611,3.53389,160,9.68
Saint-Julien-du-Sault,89348,89330,3,Joigny,CC du Jovinien,2202,48.03028,3.29583,90,24.11
Saint-Martin-du-Tertre,89354,89100,3,Sens-1,CA du Grand Sénonais,1553,48.21333,3.26000,80,6.85
Saint-Valérien,89370,89150,3,Gâtinais en Bourgogne,CC du Gâtinais en Bourgogne,1806,48.17861,3.09528,165,22.17
Seignelay,89382,89250,1,Saint-Florentin,CC Serein et Armance,1460,47.90306,3.60028,120,13.59
Sens,89387,89100,3,Sens,CA du Grand Sénonais,27275,48.19722,3.28583,70,27.96
Sergines,89391,89140,3,Thorigny-sur-Oreuse,CC Yonne Nord,1235,48.34222,3.26278,120,18.86
Soucy,89399,89100,3,Thorigny-sur-Oreuse,CA du Grand Sénonais,1546,48.24944,3.32472,100,21.52
Thorigny-sur-Oreuse,89414,89260,3,Thorigny-sur-Oreuse,CC Yonne Nord,1396,48.29333,3.40167,105,49.76
Tonnerre,89418,89700,2,Tonnerrois,CC Le Tonnerrois en Bourgogne,4268,47.85444,3.97583,150,58.67
Toucy,89419,89130,1,Cœur de Puisaye,CC de Puisaye-Forterre,2562,47.73500,3.29444,190,35.31
Treigny-Perreuse-Sainte-Colombe,89420,89520,1,Vincelles,CC de Puisaye-Forterre,1076,47.55083,3.18417,240,52.83
Les Vallées-de-la-Vanne,89411,89320,3,Brienon-sur-Armançon,CC de la Vanne et du Pays d'Othe,1012,48.16667,3.42639,100,11.59
