label,category,locality,postal_code,latitude,longitude
Chapelle des Anges,CulturalSite,Maîche,25120,47.2477993,6.7982369
Musée de la Cave de la Ville Haute,CulturalSite,Pays-de-Clerval,25340,47.393091,6.49695396
Porte Saint-Pierre,CulturalSite,Pontarlier,25300,46.9045363,6.35282579
Chapelle Notre-Dame des Anges,CulturalSite,Ouhans,25520,46.99856,6.2938
Médiathèque Jean Grosjean,CulturalSite,Baume-les-Dames,25110,47.3517917,6.36121809
Le Hameau du Fromage,CulturalSite,Cléron,25330,47.0797375,6.05325222
Ferme-Musée Grand'Combe-Châteleu,CulturalSite,Grand'Combe-Châteleu,25570,47.0301895,6.5734261
Belvédère Les Rochers du Bourbet,Landform,Les Bréseux,25120,47.2828158,6.78454602
Quentin baumlin céramique,CulturalSite,Cléron,25330,47.0871687,6.05664009
Musée la Maison Vigneronne d'Autrefois,CulturalSite,Rougemont,25680,47.4770139,6.35361671
Marcus et Gisèle,CulturalSite,Besançon,25000,47.2347813,6.02122807
Rochers du Cerf,Landform,Montbenoît,25650,46.980165,6.50736199
La Boutique des Créateurs,CulturalSite,Besançon,25000,47.2381899,6.02187202
Croix de pierre,CulturalSite,La Planée,25160,46.8409961,6.28237724
Jardin à la française du château de Jallerange,CulturalSite,Jallerange,25170,47.2535686,5.71830751
Chapelle Saint-Lazare,CulturalSite,Vuillecin,25300,46.93885,6.32162
Gouffre de Poudrey,Landform,Étalans,25580,47.1670762,6.24555587
Observatoire Ornithologique,Landform,La Rivière-Drugeon,25560,46.864962,6.21530299
Grotte de la Tante Airie,Landform,Pierrefontaine-lès-Blamont,25310,47.37524,6.84029
Le Défilé d'Entre-Roches et la grotte du Trésor,Landform,Les Combes,25500,47.0491666,6.58083333
Le puits de la Brême,Landform,Scey-Maisières,25290,47.1190483,6.11987481
Les savoirs-faire en mécanique horlogère et mécanique d’art inscrits à l’UNESCO,CulturalSite,Besançon,25000,47.2378874,6.0240133
Atelier de Sérigraphie,CulturalSite,Pontarlier,25300,46.9038488,6.3562172
Manufacture horlogère Vuillemin,CulturalSite,Franois,25770,47.227974,5.93433843
Les Prés d'Haut,Landform,Châtelblanc,25240,46.67591,6.1109
Belvédère du Fer à Cheval,Landform,La Cluse-et-Mijoux,25300,46.8758294,6.37773513
Belvédère le Saut de Gamache,Landform,Grosbois,25110,47.343722,6.319885
Anaïs vincent maroquinerie artisanale,CulturalSite,Arc-et-Senans,25610,47.0369529,5.822173
L'Observatoire de Besançon,CulturalSite,Besançon,25000,47.2475689,5.9906982
Le Pont Sarrazin,Landform,Vandoncourt,25230,47.4571496,6.91393794
Les Lumières Du Druide,CulturalSite,Montferrand-le-Château,25320,47.1795553,5.9036133
ENS - Pelouse de la Chaux,Landform,Étrabonne,25170,47.2330498,5.74235277
Église Saint-Bénigne,CulturalSite,Arc-et-Senans,25610,47.0367456,5.78882932
Belvédère de la Roche,Landform,Villers-sous-Chalamont,25270,46.8870239,6.04656788
Couvent des Ursulines,CulturalSite,Saint-Hippolyte,25190,47.318337,6.812392
Château médiéval de Montfaucon,CulturalSite,Montfaucon,25660,47.2461126,6.0784039
Musée d'Armes Anciennes,CulturalSite,La Cluse-et-Mijoux,25300,46.8728,6.3794
Belvédère du Peu,Landform,Laviron,25510,47.25631,6.55206
La galerie du Saint-Esprit,CulturalSite,Besançon,25000,47.2406769,6.02316532
"Visite audio-guidée de Montbéliard, cité des princes",CulturalSite,Montbéliard,25200,47.5089311,6.8024579
ENS - Pelouses de la Côte de Moini,Landform,Quingey,25440,47.1070077,5.87798068
Médiathèque municipale de Pontarlier,CulturalSite,Pontarlier,25300,46.90381,6.35429
"Musée Roger Comte ""Trianon""",CulturalSite,Hérimoncourt,25310,47.4470912,6.87837351
Le Pavillon des Sciences,CulturalSite,Montbéliard,25200,47.5057923,6.803854
Artisan Métallier,CulturalSite,Ornans,25290,47.1109077,6.1250979
Le Parc des Miches,CulturalSite,Montbéliard,25200,47.5121633,6.79134556
Point de vue la Cote,Landform,Le Bizot,25210,47.1347349,6.66891572
ENS - Zone humide de l'Étang du Breuillez,Landform,Bremondans,25530,47.2248325,6.38353834
Le grand saut,Landform,Ornans,25520,47.020235,6.278354
Centre d'Art d'Audincourt - Donation Patt,CulturalSite,Audincourt,25400,47.4813221,6.8380856
Potier de terre - Philippe Pichet,CulturalSite,Chapelle-d'Huin,25270,46.9380126,6.1996378
ENS - Lac de Bouverans et Marais du Varot,Landform,Bouverans,25560,46.83185,6.21239
Eglise Saint-Valère,CulturalSite,Bians-les-Usiers,25520,46.9702087,6.27538204
La Brassicomtoise : route des brasseurs de Franche-Comté,CulturalSite,Besançon,25000,47.2711117,6.0282445
Sources d'Arcier,Landform,Vaire,25220,47.2668087,6.1204469
Point de vue le creux de la haute roche,Landform,Charmoille,25380,47.2243481,6.67908668
Église de la présentation-de-notre-dame,CulturalSite,Métabief,25370,46.773705,6.35055199
Réserve naturelle régionale de la basse-savoureuse,Landform,Nommay,25600,47.5334305,6.85002575
Portail de l'ancienne chapelle des Annonciades,CulturalSite,Pontarlier,25300,46.9037624,6.35442765
Source Bleue,Landform,Montperreux,25160,46.8091113,6.32418722
Bibliothèque,CulturalSite,Montperreux,25160,46.8255076,6.34158002
Musée de L'Aventure Peugeot,CulturalSite,Sochaux,25600,47.5162173,6.83138905
Belvédère du Rocher d’Ully,Landform,Ornans,25290,47.0982952,6.15109559
Hôtel du Chambrier,CulturalSite,Besançon,25000,47.2345333,6.03065729
Tournage sur bois,CulturalSite,Montmahoux,25270,46.97917,6.03135
Fontaine de Greutal à Anteuil,CulturalSite,Anteuil,25340,47.385823,6.5546113
Les Ateliers du Feu,CulturalSite,Grand'Combe-Châteleu,25570,47.0233948,6.57047694
Belvédère du Bois du Croz,Landform,Le Crouzet,25240,46.70358,6.13636
ENS - Marais de Saône,Landform,Saône,25660,47.2272778,6.11348441
Les collines de Besançon,Landform,Besançon,25000,47.235422,6.0414505
Eglise de Leugney,CulturalSite,Bremondans,25530,47.247408,6.388755
Chapelle,CulturalSite,Échevannes,25580,47.076262,6.230205
Oratoire de la Vierge du Cotay,CulturalSite,Arçon,25300,46.94509,6.38394
Belvédère de Montperreux,Landform,Montperreux,25160,46.8290654,6.34217373
Écomusée - Maison Michaud,CulturalSite,Chapelle-des-Bois,25240,46.6294429,6.14069258
Point de vue du Gelot,Landform,L'Isle-sur-le-Doubs,25250,47.4491263,6.5817832
Le Vieux Lavoir,CulturalSite,Rougemont,25680,47.4799423,6.35386559
Bibliothèque Chenecey-Buillon,CulturalSite,Chenecey-Buillon,25440,47.140276,5.957364
Saline royale,CulturalSite,Arc-et-Senans,25610,47.03166,5.77852
Bibliothèque Myon,CulturalSite,Myon,25440,47.0262314,5.9434025
Papeterie Gemdoubs,CulturalSite,Novillars,25220,47.28226,6.13024
Bibliothèque,CulturalSite,Levier,25270,46.95426,6.11714
Atelier du lison,CulturalSite,Nans-sous-Sainte-Anne,25330,46.9753876,5.9960664
Bibliothèque,CulturalSite,La Cluse-et-Mijoux,25300,46.87158,6.37884
Chapelle Saint-Maurice,CulturalSite,Jougne,25370,46.7576296,6.39106738
Musée de la République du Saugeais - Abbaye de Montbenoît,CulturalSite,Montbenoît,25650,46.9928554,6.46231055
Château du Saint Esprit,CulturalSite,École-Valentin,25480,47.271086,5.9810244
Sentier de la Motte du Château,Landform,Montrond-le-Château,25660,47.14258,6.0468
Source de la Loue,Landform,Ouhans,25520,46.9985925,6.29370689
La vallée du Doubs,Landform,Baume-les-Dames,25110,47.336356,6.352681
Belvédère des roches de Clerval,Landform,Pays-de-Clerval,25340,47.3922065,6.50785798
Bibliothèque,CulturalSite,Houtaud,25300,46.91448,6.31531
L'Atelier de Sylvie,CulturalSite,Beutal,25250,47.4696255,6.6387567
Musée Phisalix d'Histoire Naturelle,CulturalSite,Mouthier-Haute-Pierre,25920,47.0400645,6.2748378
ENS - L'Étang du Brachet,Landform,Passonfontaine,25690,47.103195,6.419998
Le ravin du puits noir,Landform,Scey-Maisières,25290,47.1289764,6.12751375
Château de Vaire le Grand,CulturalSite,Vaire,25220,47.2837125,6.15049839
Église Saint-Pierre,CulturalSite,Pontarlier,25300,46.9041039,6.354242
"Médiathèque ""La passerelle""",CulturalSite,Ornans,25290,47.1058029,6.1460822
Les bornes de la principauté de Montbéliard,CulturalSite,Montbéliard,25200,47.5089311,6.8024579
Hôtel du Bouteiller,CulturalSite,Besançon,25000,47.23952,6.02355
"L’Engrenage, Maison de Couture et de la Mode",CulturalSite,Besançon,25000,47.2660444,6.05176602
La Grange Huguenet,CulturalSite,Besançon,25000,47.2468271,6.00811878
Eglise saint-laurent,CulturalSite,Mouthier-Haute-Pierre,25920,47.0402552,6.27516746
Musée Ledoux,CulturalSite,Arc-et-Senans,25610,47.0327231,5.77790833
Biscuiterie Cornu SA - Visite entreprise,CulturalSite,Fontain,25660,47.1904497,6.0160891
L'itinéraire des temples du Pays de Montbéliard,CulturalSite,Montbéliard,25200,47.5089458,6.80241772
Abbaye Notre-Dame de la Grâce-Dieu,CulturalSite,Chaux-lès-Passavant,25530,47.2487951,6.34681463
Hélène Heyberger Artiste-plasticienne,CulturalSite,Besançon,25000,47.22604,6.00587
Bibliothèque,CulturalSite,Boujailles,25560,46.88856,6.07907
Maison des ateliers,CulturalSite,Baume-les-Dames,25110,47.35056,6.36337
Bibliothèque,CulturalSite,Malbuisson,25160,46.79921,6.30447
Fontaine des Dames,CulturalSite,Besançon,25000,47.234951,6.0248411
Belvédère des Taillards,Landform,Villers-le-Lac,25130,47.0822213,6.69861013
L'Atelier de Suzy,CulturalSite,Ornans,25290,47.1064996,6.14683792
Chapelle de Notre-Dame de Consolation,CulturalSite,Consolation-Maisonnettes,25390,47.157612,6.605573
Table tactile du Musée Ledoux à la Saline royale,CulturalSite,Arc-et-Senans,25610,47.0327085,5.77786542
Bibliothèque,CulturalSite,Les Hôpitaux-Vieux,25370,46.7897949,6.3696595
Église abbatiale,CulturalSite,Baume-les-Dames,25110,47.352084,6.361967
Atelier des ursulines - lutherie du quatuor,CulturalSite,Liebvillers,25190,47.3177127,6.81167226
Ça tourne pas rond - Céramiqu'ta mère,CulturalSite,Villers-Grélot,25640,47.3554191,6.2278982
L'Atelier du Quai,CulturalSite,L'Isle-sur-le-Doubs,25250,47.44971,6.58381
Vallée du doubs en voiture,Landform,Baume-les-Dames,25110,47.341618,6.359603
"Application web ""l’aqueduc d’Arcier, patrimoine historique""",CulturalSite,Vaire,25220,47.2844629,6.14895937
Hôtel de ville,CulturalSite,Besançon,25000,47.2380182,6.0242842
Fonderie de cloches - Atelier cuir Obertino Morteau,CulturalSite,Morteau,25500,47.0635845,6.60630676
Aux forges d'antan,CulturalSite,Montgesoye,25111,47.1065212,6.1444176
Le Criollo chocolatier - Visite Entreprise,CulturalSite,Chalezeule,25220,47.26578,6.05988
Le Jardin botanique,CulturalSite,Besançon,25000,47.24456,5.9832
Bibliothèque,CulturalSite,Mouthe,25240,46.71025,6.19249
La cascade de la Tuffière,Landform,Châteauvieux-les-Fossés,25840,47.0529146,6.18625861
La chocolaterie debrie à montbéliard,CulturalSite,Montbéliard,25200,47.511242,6.798944
Belvédère de Vandoncourt,Landform,Vandoncourt,25230,47.4610803,6.91211875
La Cathédrale Saint-Jean,CulturalSite,Besançon,25000,47.2336372,6.0305339
Ebenisterie Laurent Vuillemin,CulturalSite,Grand'Combe-Châteleu,25570,47.0233738,6.57022654
Belvédère de la source,Landform,Mouthe,25240,46.704562,6.20953189
Les jeux de Gus,CulturalSite,Ornans,25290,47.10405,6.15349
Chapelle Sainte-Philomène,CulturalSite,Les Hôpitaux-Vieux,25370,46.789994,6.36919499
Arboretum du lavot,CulturalSite,Fournets-Luisans,25390,47.0796367,6.536125
Maison à Tourelle,CulturalSite,Baume-les-Dames,25110,47.352314,6.361441
Belvédère - Roche Champion et Roche Bernard,Landform,Chapelle-des-Bois,25240,46.588739,6.12560971
Atelier Cordeline,CulturalSite,Villers-Grélot,25640,47.3551206,6.2288618
La Fabrik de Mana,CulturalSite,Pontarlier,25300,46.90434,6.35527
Les Oizeaux de Passage,CulturalSite,Arc-et-Senans,25610,47.0314695,5.77884189
Le Minotaure,CulturalSite,Besançon,25000,47.2420656,6.02462834
ENS - La Source de la Doue,Landform,Glay,25310,47.402776,6.905519
Aérodrome de Besançon - Thise et ses hangars,CulturalSite,Thise,25220,47.277983,6.082739
Bibliothèque - Médiathèque,CulturalSite,Les Fourgs,25300,46.8333454,6.4069299
Parc naturel régional du Doubs Horloger,Landform,Les Fontenelles,25210,47.19465,6.74787
Cascade du Gour de Conche et Roche Tuffiere,Landform,Myon,25440,47.0108215,5.93250108
Chapelle Saint-Joseph des Bassots,CulturalSite,Villers-le-Lac,25130,47.059165,6.684754
Le Grand Séminaire de Besançon,CulturalSite,Besançon,25000,47.23551,6.02402
Statue du Marquis Jouffroy d'Abbans,CulturalSite,Besançon,25000,47.2398473,6.0204327
ATELIER MAPELCY,CulturalSite,Arc-et-Senans,25610,47.03646,5.78978
Château de Cléron,CulturalSite,Cléron,25330,47.0874303,6.0585308
Parc de la promenade du Doubs,CulturalSite,Voujeaucourt,25420,47.4742284,6.76937861
Bibliothèque,CulturalSite,Chaffois,25300,46.91533,6.26889
Chapelle Saint-Léger,CulturalSite,La Cluse-et-Mijoux,25300,46.87255,6.38678
Corniche de Goumois,Landform,Goumois,25470,47.2461385,6.94952945
Terres des Meix,CulturalSite,Rochejean,25370,46.7368078,6.29315851
Ferme-musée du Montagnon,CulturalSite,Fournets-Luisans,25390,47.1258192,6.55858039
Espace Charles Kieffer,CulturalSite,Seloncourt,25230,47.4628776,6.8583452
Le parc des Jonchets,CulturalSite,Grand-Charmont,25200,47.5262066,6.81666189
Post-Scriptum,CulturalSite,Ornans,25290,47.1124698,6.1427506
Lac des Mortes,Landform,Chapelle-des-Bois,25240,46.5856688,6.10278853
Musée de Paléontologie Géologie et des Minéraux,CulturalSite,Rougemont,25680,47.4791603,6.36520385
Belvédère de la Roche de Hautepierre,Landform,Les Premiers Sapins,25580,47.03568,6.29901
La Porte Noire,CulturalSite,Besançon,25000,47.2340623,6.0302679
Chapelle-conservatoire d’art sacré d’Ecole-Valentin,CulturalSite,École-Valentin,25480,47.27123,5.981221
Bibliothèque,CulturalSite,Arc-sous-Cicon,25520,47.05134,6.37988
Amica Décoration,CulturalSite,École-Valentin,25480,47.27918,5.99229
Musée animalier,CulturalSite,Jougne,25370,46.7605137,6.38955831
Paul Gonez - Sculpteur,CulturalSite,Besançon,25000,47.2437073,6.03495393
Vallée de l'Ognon,Landform,Thurey-le-Mont,25870,47.37274,6.12342
La Clé des Champs LCDC,CulturalSite,Mouthe,25240,46.71036,6.19972
Crêt Monniot,Landform,Arc-sous-Cicon,25520,47.0363215,6.41189575
Bibliothèque,CulturalSite,Jougne,25370,46.76065,6.38962
Château de Cordiron,CulturalSite,Burgille,25170,47.2659372,5.79955048
Galerie Bertrand-Hassoun,CulturalSite,Besançon,25000,47.23628,6.02812
Belvédère du Château,Landform,Ornans,25290,47.1124849,6.1422827
Théâtre antique de Mandeure,CulturalSite,Mandeure,25350,47.447829,6.79369999
Creativ'Aline,CulturalSite,Jallerange,25170,47.25454,5.72004
La boucle de Besançon,CulturalSite,Besançon,25000,47.2343684,6.02608664
Le Mont Saint Sorlin,Landform,Les Pontets,25240,46.7267384,6.14408099
Hôtel de l'Intendance,CulturalSite,Besançon,25000,47.2332584,6.02248191
Circuit découverte du coeur historique de Baume les Dames,CulturalSite,Baume-les-Dames,25110,47.35266,6.36167
Le Fort Lachaux,CulturalSite,Grand-Charmont,25200,47.5202776,6.82599739
Atelier d'art Yvette et Stéphane Doulcier,CulturalSite,Ornans,25290,47.1056801,6.14795219
PONTARLIER,CulturalSite,Pontarlier,25300,46.9041039,6.354242
La source du Pontet,Landform,Mouthier-Haute-Pierre,25920,47.0284848,6.28848201
Citadelle de Besançon,CulturalSite,Besançon,25000,47.2299592,6.03392232
Belvédère des deux Lacs,Landform,Brey-et-Maison-du-Bois,25240,46.7467722,6.2534365
Bibliothèque,CulturalSite,Vaux-et-Chantegrue,25160,46.81172,6.24916
Musée municipal d'Art et d'Histoire,CulturalSite,Pontarlier,25300,46.90432,6.35494689
ENS - La Reculée,Landform,Cussey-sur-Lison,25440,47.059299,5.955229
Château d'Etrabonne,CulturalSite,Étrabonne,25170,47.2340586,5.74274662
Eglise,CulturalSite,Scey-Maisières,25290,47.1153027,6.1044314
Point de vue de la Vierge du Choléra,Landform,Baume-les-Dames,25110,47.3517037,6.3674067
